x,y,z,theta,kappa,s,dkappa
91.4398,-83.5575,0,1.73583,0.00433379,90.4368,0.0013704
91.2723,-82.5667,0,1.7409,0.00578759,91.4417,0.00152247
91.099,-81.5769,0,1.74751,0.00739165,92.4465,0.00166898
90.9184,-80.5884,0,1.75581,0.00914759,93.4514,0.00184302
90.7287,-79.6016,0,1.76597,0.0111069,94.4562,0.00205846
90.528,-78.617,0,1.77821,0.0132892,95.4611,0.00228787
90.3141,-77.6352,0,1.79276,0.015712,96.4659,0.00253851
90.0848,-76.6569,0,1.80987,0.0184005,97.4708,0.00281817
89.8373,-75.683,0,1.8298,0.0211767,98.4756,0.00226741
89.5693,-74.7145,0,1.85198,0.0227091,99.4805,0.000772851
89.2794,-73.7524,0,1.87493,0.0227107,100.485,-0.000778406
88.9678,-72.7971,0,1.89709,0.0211307,101.49,-0.00237113
88.6361,-71.8486,0,1.91685,0.0179404,102.495,-0.00397881
88.2874,-70.9062,0,1.93265,0.0134231,103.5,-0.00442605
87.926,-69.9686,0,1.94403,0.00935477,104.505,-0.00366847
87.5558,-69.0345,0,1.95171,0.00605321,105.51,-0.00290251
87.1798,-68.1026,0,1.95645,0.00352072,106.514,-0.00213891
86.8005,-67.1721,0,1.95904,0.00175245,107.519,-0.00138169
86.4194,-66.2423,0,1.96022,0.000703586,108.524,-0.000783346
86.0377,-65.3128,0,1.96061,0.000138319,109.529,-0.000342029
85.6558,-64.3833,0,1.96065,1.59814e-05,110.534,9.85733e-05
85.2739,-63.4539,0,1.96079,0.00033668,111.539,0.000539904
84.8916,-62.5246,0,1.96147,0.00110137,112.544,0.000982195
84.5083,-61.5957,0,1.96313,0.00219982,113.548,0.000979723
84.1229,-60.6677,0,1.96576,0.00295537,114.553,0.000523938
83.7348,-59.7408,0,1.96892,0.00325267,115.558,6.77993e-05
83.3437,-58.8152,0,1.97214,0.00309173,116.563,-0.000388042
82.9498,-57.8907,0,1.97498,0.002473,117.568,-0.000843341
82.5537,-56.9673,0,1.97698,0.00148916,118.573,-0.000928527
82.1561,-56.0444,0,1.97805,0.000701885,119.578,-0.000638457
81.7578,-55.1219,0,1.97848,0.000206028,120.582,-0.00034846
81.3594,-54.1994,0,1.97856,1.6318e-06,121.587,-5.83176e-05
80.9609,-53.2769,0,1.97859,8.89318e-05,122.592,0.000232137
80.5623,-52.3545,0,1.97883,0.000413444,123.597,0.00030353
80.1633,-51.4323,0,1.97938,0.000642949,124.602,0.000153232
79.7638,-50.5103,0,1.98007,0.000721329,125.607,2.73247e-06
79.3636,-49.5885,0,1.98077,0.000648354,126.612,-0.000148028
78.9628,-48.6671,0,1.98133,0.000423722,127.616,-0.000299133
78.5616,-47.7458,0,1.98158,9.52731e-05,128.621,-0.000259478
78.1603,-46.8245,0,1.98159,-4.99422e-05,129.626,-2.93905e-05
77.7591,-45.9033,0,1.98156,3.44308e-05,130.631,0.000194739
77.3577,-44.982,0,1.98173,0.000331224,131.636,0.000388086
76.9561,-44.0609,0,1.98228,0.000792744,132.641,0.000517175
76.5538,-43.1401,0,1.98336,0.00140975,133.645,0.000858709
76.1501,-42.2199,0,1.9853,0.00251709,134.65,0.00128054
75.744,-41.3008,0,1.9885,0.00385572,135.655,0.00132577
75.3344,-40.3832,0,1.99301,0.005086,136.66,0.00108786
74.9201,-39.4677,0,1.99861,0.00599799,137.665,0.000717672
74.5004,-38.5547,0,2.00493,0.00652837,138.67,0.000345532
74.0747,-37.6445,0,2.01159,0.00656828,139.675,-0.000718337
73.6431,-36.7371,0,2.01754,0.00502912,140.679,-0.0021448
