optimized_right_x,optimized_right_y,optimized_left_x,optimized_left_y
-17.2235,-94.8698,-13.613,-108.603
-17.548,-94.9551,-13.9374,-108.688
-18.609,-95.2384,-14.9447,-108.957
-17.928,-97.788,-16.0322,-109.251
-18.5135,-100.062,-16.1642,-108.762
-18.6834,-99.4325,-17.4427,-107.968
-19.4581,-100.499,-17.5175,-107.69
-19.4704,-100.454,-18.3615,-108.982
-20.5814,-100.662,-18.1388,-109.816
-20.4397,-101.193,-19.3594,-110.04
-22.2441,-99.2743,-20.5705,-110.472
-22.7144,-97.5193,-21.8717,-110.831
-23.2694,-100.536,-22.9412,-111.129
-23.4014,-100.05,-24.2217,-111.489
-25.6413,-97.1403,-25.2163,-111.77
-24.343,-101.856,-26.4618,-112.124
-25.2182,-102.964,-26.6558,-111.442
-25.5715,-101.697,-28.2438,-110.976
-26.8211,-102.233,-28.0812,-111.546
-26.8476,-102.138,-29.2209,-111.872
-27.7813,-102.698,-30.5765,-112.262
-27.7657,-102.753,-30.5985,-112.186
-29.0005,-103.199,-31.6041,-112.473
-28.9137,-103.504,-31.6041,-112.473
-31.1391,-100.829,-32.7452,-112.69
-31.703,-98.8529,-32.7242,-112.765
-32.8517,-99.1816,-33.8545,-113.07
-31.7244,-103.122,-33.9601,-112.679
-33.0923,-103.515,-35.0111,-113.996
-34.2252,-99.5766,-34.8869,-114.475
-35.208,-99.8574,-36.1259,-114.79
-35.8974,-101.399,-37.3574,-115.104
-35.2722,-103.639,-38.3573,-115.357
-35.8399,-105.715,-39.3494,-115.608
-35.9278,-105.389,-39.4825,-115.083
-37.2016,-105.555,-40.6354,-114.718
-37.2219,-105.476,-40.5392,-115.096
-38.3781,-105.947,-41.5412,-115.25
-38.4212,-105.778,-41.6281,-114.909
-39.8466,-105.315,-42.988,-114.781
-41.7981,-101.786,-42.9084,-115.095
-42.8378,-101.844,-44.0229,-115.693
-43.8468,-102.1,nan,nan
-44.8273,-102.35,nan,nan
-43.9435,-105.82,nan,nan
-44.6652,-108.176,nan,nan
-44.6213,-108.35,nan,nan
-46.1712,-107.521,nan,nan
