optimized_right_x,optimized_right_y,optimized_left_x,optimized_left_y
8.88954,-87.8286,11.1369,-99.4126
8.52668,-87.899,11.1259,-99.3559
7.26053,-88.1555,10.7817,-99.5229
6.12952,-88.3959,10.7711,-99.4683
4.77014,-88.6948,9.54453,-99.4203
4.89264,-93.9977,9.53298,-99.3633
4.95819,-94.2883,8.54996,-99.7677
3.88512,-94.4624,8.3574,-98.8629
3.82245,-94.1852,7.43295,-100.794
2.75154,-94.524,7.82218,-102.563
2.85654,-94.9904,6.87253,-102.777
1.39738,-95.3994,6.30641,-100.267
1.36624,-95.2586,5.2514,-100.505
0.1793,-95.5824,5.81892,-103.015
0.219598,-95.7667,4.71879,-103.263
-1.18002,-95.4326,3.20974,-103.597
-1.56343,-93.6893,1.9898,-103.864
-3.63287,-90.562,1.4287,-101.297
-4.94869,-90.8536,0.170635,-101.574
-6.04672,-91.0986,0.734923,-104.14
-6.42759,-94.0537,-0.570182,-104.428
-8.04027,-91.5463,-1.08411,-102.101
-9.04764,-91.7723,-2.76132,-100.725
-9.99988,-92.0865,-2.51592,-101.833
-10.9868,-92.3043,-3.55573,-102.26
-11.9626,-92.518,-3.5386,-102.337
-13.0921,-92.7637,-4.49793,-102.652
-14.0648,-92.973,-4.78662,-101.366
-15.0638,-93.186,-5.44956,-103.076
-16.051,-93.3944,-4.92717,-105.401
-17.0506,-93.6034,-5.93948,-105.628
-18.0648,-93.8138,-6.93792,-105.85
-19.0568,-94.0181,-7.94835,-106.073
-20.0672,-94.2256,-8.94665,-106.292
-21.2148,-94.3607,-10.0951,-106.541
-22.2055,-94.5656,-10.4028,-105.127
-23.5191,-94.8394,-11.8359,-103.329
-24.5177,-95.049,-11.9679,-102.716
-25.5237,-95.2611,-12.6603,-104.459
-25.912,-98.5118,-12.1237,-106.976
-25.8053,-99.0162,-13.1378,-107.19
-26.9842,-98.5038,-14.1644,-107.405
-27.0346,-98.2654,-15.2013,-107.62
-28.6118,-96.5964,-16.2127,-107.828
-28.75,-95.9437,-16.8087,-104.934
-29.7838,-96.1641,-18.1046,-103.779
-30.7961,-96.3798,-17.7732,-105.392
-31.8306,-96.6,-18.9081,-105.525
-32.8802,-96.8237,-19.3295,-108.471
-33.943,-97.0504,-20.6212,-108.741
-33.565,-98.8215,-21.6001,-108.946
-34.1709,-101.18,-22.5954,-109.156
-34.0442,-101.773,-23.1666,-106.445
-35.5746,-100.512,-24.188,-106.661
-36.2111,-97.5351,-24.2028,-106.591
-36.8581,-99.8214,-25.2274,-106.808
-36.5988,-101.032,-24.6393,-109.588
-37.949,-99.8382,-25.8092,-109.836
-37.8842,-100.141,-26.8446,-109.954
-38.9675,-100.373,-27.8568,-110.17
-38.9949,-100.244,-28.895,-110.391
-39.7746,-101.898,-29.9422,-110.614
-40.0123,-100.784,-31.0002,-110.84
-41.1994,-100.648,-32.0595,-111.066
-41.1994,-100.648,-33.263,-111.323
-42.2201,-101.352,-34.3448,-111.555
-41.8668,-103.011,-35.3953,-111.78
-43.348,-102.187,-36.4812,-112.012
-43.9656,-99.293,-37.5672,-112.244
-45.0921,-99.5345,-38.6772,-112.48
-46.2415,-99.7818,-39.7989,-112.719
-45.7486,-102.073,-41.0226,-113.082
-46.5239,-103.986,-42.1368,-113.321
-46.7561,-102.911,-43.2759,-113.566
-47.9057,-102.965,-44.4029,-113.81
-47.8952,-103.013,-45.5082,-114.049
-49.0649,-102.979,-46.6122,-114.288
-49.0511,-103.042,-47.7191,-114.528
-50.6281,-101.123,-49.3985,-112.233
-50.7304,-100.651,-49.4196,-112.136
-51.8677,-100.899,-50.689,-112.413
-53.1404,-101.177,-50.6832,-112.44
-54.262,-101.422,-51.7803,-112.78
-55.3583,-101.662,-51.7765,-112.797
-56.4469,-101.9,-52.8292,-113.229
-57.5219,-102.137,-52.8363,-113.196
-58.6199,-102.379,-53.9158,-113.433
-59.6933,-102.616,-53.8959,-113.524
-60.9109,-102.885,-54.4697,-116.005
-61.9627,-103.118,-55.5615,-116.246
-62.9774,-103.343,-56.6295,-116.482
-62.8741,-103.808,-57.8538,-116.752
-63.3548,-106.37,-58.8953,-116.982
-63.3764,-106.273,-60.4213,-114.863
-64.3603,-106.492,-60.6851,-113.674
-64.2612,-106.939,-61.3326,-115.467
-65.5834,-107.064,-60.8969,-117.427
-65.3653,-108.048,-61.8872,-117.646
-66.9133,-107.047,-63.175,-117.932
-67.512,-104.349,-64.4363,-118.212
-68.6088,-104.592,-65.5357,-118.455
-69.8283,-104.863,-66.7456,-118.724
-69.7248,-105.328,-67.9478,-118.992
-70.6276,-106.946,-69.1324,-119.254
-70.7057,-106.595,-70.5658,-119.572
-71.9232,-106.66,-71.1412,-116.972
-71.8654,-106.921,-72.6367,-117.303
-73.3159,-107.145,-72.4524,-118.135
-73.2921,-107.252,-73.9656,-116.381
-75.0287,-106.504,-73.8793,-116.771
-74.4477,-109.127,-74.4779,-119.278
-75.5164,-109.363,-74.2561,-120.285
-76.1989,-106.275,-75.3573,-120.526
-77.2891,-106.515,-76.4566,-120.767
-78.3781,-106.754,-77.6766,-121.032
-79.4693,-106.992,-78.7542,-121.266
-80.6579,-107.354,-79.2178,-119.131
-81.7234,-107.585,-80.6379,-117.813
-82.8081,-107.82,-80.4021,-118.898
-82.1478,-110.861,-81.4801,-119.134
-83.2358,-111.099,-81.4451,-119.294
-83.9,-108.059,-82.5393,-119.33
-84.9708,-108.295,-82.5504,-119.28
-84.4627,-110.601,-83.5627,-119.505
-85.0868,-112.666,-83.5634,-119.502
-85.2063,-112.13,-84.663,-119.749
-86.8601,-109.973,-84.663,-119.749
-87.1286,-108.778,-86.0714,-120.273
-88.6162,-109.117,-86.4841,-118.463
-87.9998,-111.819,-88.1505,-117.684
-89.0018,-113.982,-88.1157,-117.835
-89.2316,-112.983,-88.8105,-121.18
-90.6687,-113.12,-88.2739,-123.507
-90.7,-112.983,-89.3022,-123.743
-91.76,-113.021,-90.6007,-124.038
-91.7265,-113.167,-90.9215,-122.627
-93.0262,-113.366,-92.6377,-120.901
-92.7509,-114.577,-92.496,-121.533
-94.3569,-113.24,-93.7245,-121.804
-94.979,-110.468,-93.7245,-121.804
-96.1716,-110.731,-95.0128,-122.184
-96.7953,-114.041,-95.0128,-122.184
-96.7652,-114.178,-96.2164,-122.155
-97.889,-114.522,-96.1843,-122.302
-97.9041,-114.453,-97.3177,-122.549
-99.0338,-114.7,-97.3284,-122.501
-99.0338,-114.7,-98.4458,-122.744
-100.081,-115.228,-98.4351,-122.793
-100.064,-115.307,-99.5913,-122.532
-101.17,-115.257,-100.918,-122.104
-101.155,-115.326,-101.044,-121.524
-102.297,-115.763,-102.464,-120.97
-102.208,-116.175,-102.465,-120.966
-103.304,-117.12,-103.734,-121.101
-103.075,-118.169,-103.741,-121.067
-104.315,-118.44,-104.867,-121.583
-104.593,-117.171,-104.833,-121.735
-106.013,-116.486,-105.719,-123.253
-106.052,-116.31,-105.681,-123.411
-107.259,-116.69,-106.575,-124.153
-107.271,-116.64,-106.471,-124.59
-108.298,-116.883,-108.144,-122.419
-108.316,-116.806,-108.172,-122.301
-109.394,-117.165,-108.992,-123.262
-109.189,-118.027,-108.928,-123.531
-110.046,-118.854,nan,nan
-110.183,-118.279,nan,nan
