optimized_right_x,optimized_right_y,optimized_left_x,optimized_left_y
5.62503,-88.7544,8.33708,-102.591
5.27439,-88.8232,7.98644,-102.66
6.04978,-92.7791,6.98621,-102.867
5.27785,-94.6142,5.27905,-100.37
5.1955,-94.2163,5.26822,-100.32
4.04212,-94.6144,4.07315,-100.478
4.13142,-95.0299,4.07315,-100.478
2.81234,-94.6502,2.80517,-100.755
2.8652,-94.8946,2.81584,-100.804
1.6763,-95.586,1.70842,-100.641
1.56961,-95.0976,1.67986,-100.513
0.496874,-95.2054,0.565841,-101.354
0.553984,-95.4616,0.601368,-101.509
-1.17603,-93.7366,-0.362328,-102.044
-1.96215,-90.2988,-0.813979,-104.618
-3.05563,-90.555,-2.0133,-104.91
-4.10303,-90.8044,-3.03558,-105.164
-5.3699,-91.1125,-4.59078,-103.493
-6.45237,-91.3808,-5.09993,-105.688
-7.56934,-91.6619,-5.4075,-104.488
-7.08067,-93.6029,-7.07583,-102.699
-7.62757,-95.8238,-6.94184,-103.213
-7.64034,-95.7739,-8.31519,-103.475
-9.32281,-94.078,-8.28898,-103.575
-9.34534,-93.9915,-9.57514,-103.711
-10.7129,-94.3508,-9.59983,-103.617
-10.8052,-93.9994,-10.8584,-103.948
-11.7178,-95.5808,-10.8407,-104.016
-11.9609,-94.6583,-12.1115,-104.249
-13.2681,-94.8001,-12.0929,-104.32
-13.2922,-94.7089,nan,nan
-14.9148,-93.5844,nan,nan
