optimized_right_x,optimized_right_y,optimized_right_s,optimized_left_x,optimized_left_y,optimized_left_s
20.6126,-4.88342,62.3051,14.1571,-2.5938,60.09
19.784,-4.22842,62.3051,14.0949,-2.54434,60.09
21.8656,-4.50279,63.3749,14.7798,-1.67991,61.1976
21.3557,-4.10085,63.3749,14.8337,-1.72261,61.1976
20.8951,-1.97158,64.7593,15.593,-0.915644,62.3051
21.8243,-2.70162,64.7593,15.5158,-0.854601,62.3051
25.7463,-4.3431,65.8799,16.2539,-0.0797141,63.3749
26.4489,-3.44349,67.0126,16.3873,-0.184899,63.3749
27.3669,-2.2653,68.4978,17.4558,0.730692,64.7593
28.0117,-1.44006,69.555,17.572,0.639408,64.7593
28.6899,-0.578134,70.6752,17.9996,1.72279,65.8799
29.3699,0.266988,71.8352,17.7929,1.88463,65.8799
27.9074,1.44277,71.8352,18.3376,2.89173,67.0126
26.2938,4.05149,72.8924,18.304,2.918,67.0126
26.6294,3.77315,72.8924,19.291,4.02678,68.4978
27.2978,4.54041,73.9747,19.3232,4.0017,68.4978
27.3328,4.50997,73.9747,20.127,4.72081,69.555
27.9744,5.32537,75.12,20.0793,4.75809,69.555
27.9834,5.31693,75.12,20.8552,5.58537,70.6752
28.5905,6.02329,76.1898,20.9515,5.50965,70.6752
28.6169,5.99567,76.1898,21.9829,6.20614,71.8352
29.1984,6.60406,77.1966,21.9601,6.22449,71.8352
29.1753,6.63158,77.1966,22.6581,7.06657,72.8924
29.8462,7.09975,78.215,22.587,7.12548,72.8924
29.6712,7.34537,78.215,22.5055,8.7089,73.9747
30.8888,6.79528,79.2217,22.8782,10.129,75.12
31.239,6.1822,79.2217,23.8112,11.0282,76.1898
31.8799,6.37148,80.5179,24.0604,10.7671,76.1898
32.4118,6.49397,81.814,25.0194,11.5826,77.1966
32.3573,6.80643,81.814,24.7873,11.859,77.1966
33.0216,7.61881,83.148,26.4665,11.844,78.215
33.021,7.58727,83.148,26.529,11.7562,78.215
33.8823,7.10626,84.5448,27.7661,12.2617,79.2217
33.8634,7.00707,84.5448,27.8647,12.089,79.2217
34.4258,6.69828,85.5641,28.5944,15.0632,80.5179
34.4258,6.69828,85.5641,28.5046,15.3007,80.5179
35.3453,5.74319,87.1373,30.6145,16.7842,81.814
35.3453,5.74319,87.1373,30.5192,17.3299,81.814
35.9577,5.18149,88.2219,33.2076,17.4092,83.148
35.9129,5.09911,88.2219,33.1732,15.5986,83.148
36.709,4.50265,89.3798,34.96,12.7581,84.5448
36.7759,4.61429,89.3798,35.0739,13.3553,84.5448
37.7104,4.33476,90.4747,36.219,12.2151,85.5641
37.7945,4.46274,90.4747,36.0342,11.6467,85.5641
39.2058,4.64786,91.6578,38.06,11.7934,87.1373
39.2029,4.64381,91.6578,38.498,12.7696,87.1373
39.992,3.6877,92.9667,39.6376,11.9545,88.2219
39.8575,3.51515,92.9667,39.2719,11.2815,88.2219
40.5053,2.47277,94.1876,41.4156,12.3493,89.3798
40.5452,2.52188,94.1876,42.4452,14.0658,89.3798
41.4196,1.53452,95.5429,43.6063,13.3102,90.4747
41.5729,1.71745,95.5429,41.7748,10.522,90.4747
42.8878,1.40578,96.7763,41.7809,8.23451,91.6578
43.5434,2.17322,96.7763,42.3493,9.0262,91.6578
43.5626,0.19956,98.1104,43.4724,8.15383,92.9667
42.2719,-1.27527,98.1104,43.3343,7.97666,92.9667
44.2136,-0.849946,99.3312,45.2117,8.26605,94.1876
43.4495,-1.70325,99.3312,44.9929,7.99682,94.1876
45.4184,-1.37229,100.602,45.5094,6.41474,95.5429
45.4681,-1.3177,100.602,45.936,6.9237,95.5429
46.4776,-1.99283,101.824,46.9641,6.17711,96.7763
46.5091,-1.95876,101.824,46.5039,5.63851,96.7763
47.5658,-3.0662,103.359,47.1985,4.35412,98.1104
48.035,-2.56107,103.359,47.4808,4.67666,98.1104
47.5707,-5.36717,104.945,48.287,3.69904,99.3312
47.473,-5.47157,104.945,48.2439,3.65081,99.3312
49.8141,-4.78641,106.191,49.261,2.84867,100.602
49.1867,-5.45459,106.191,49.364,2.96176,100.602
50.2492,-6.19291,107.475,50.6834,2.55974,101.824
50.6604,-5.75599,107.475,50.5053,2.36693,101.824
51.83,-6.37551,108.753,51.6367,1.31598,103.359
51.443,-6.78591,108.753,51.8153,1.50831,103.359
51.9085,-8.05044,109.962,52.9139,0.343514,104.945
52.1498,-7.7948,109.962,54.0319,-0.294789,106.191
53.2595,-8.4883,111.245,54.6956,-1.46876,107.475
53.14,-8.61481,111.245,54.5307,-1.64398,107.475
54.1635,-9.44798,112.554,55.707,-2.26353,108.753
54.5469,-9.04004,112.554,55.8516,-2.1102,108.753
55.5796,-9.81,113.813,56.7985,-2.87041,109.962
55.5431,-9.84955,113.813,56.851,-2.81481,109.962
56.5092,-10.5369,114.971,58.0596,-3.40615,111.245
56.2204,-10.8554,114.971,57.8933,-3.58222,111.245
56.7085,-12.19,116.211,58.3983,-4.94247,112.554
56.7085,-12.19,116.211,58.3469,-4.99712,112.554
57.5698,-12.9587,117.357,59.0694,-6.02691,113.813
57.6275,-12.894,117.357,59.1042,-5.98922,113.813
58.6152,-13.6491,118.59,60.1282,-6.54738,114.971
58.6077,-13.6575,118.59,60.2227,-6.44322,114.971
59.6814,-14.2387,119.773,61.2629,-7.11501,116.211
59.7228,-14.1919,119.773,61.3087,-7.06399,116.211
60.6074,-14.8531,120.868,62.2889,-7.67072,117.357
60.8038,-14.6304,120.868,62.2544,-7.70948,117.357
61.9588,-15.1573,122.081,63.1054,-8.59726,118.59
61.7611,-15.3821,122.081,62.8865,-8.8436,118.59
62.4705,-16.2569,123.188,64.0522,-9.30181,119.773
62.4158,-16.3191,123.188,64.22,-9.11229,119.773
61.8835,-18.6454,124.321,65.0351,-9.83082,120.868
62.4624,-17.9852,124.321,64.8016,-10.0957,120.868
62.0924,-20.0941,125.428,65.1618,-11.5154,122.081
61.1388,-21.1833,125.428,65.2427,-11.4234,122.081
61.9092,-21.857,126.448,66.0144,-12.2182,123.188
62.7089,-22.5553,127.505,66.0239,-12.2074,123.188
63.5051,-23.2502,128.559,67.1097,-12.6858,124.321
64.3104,-23.9509,129.616,67.29,-12.4802,124.321
65.4103,-24.9026,131.051,68.3188,-12.9821,125.428
66.382,-25.7379,132.31,68.2665,-13.0418,125.428
67.3829,-26.593,133.604,69.0963,-13.6384,126.448
69.5691,-24.034,133.604,69.0609,-13.6789,126.448
71.9858,-23.5578,135.127,69.8554,-14.3728,127.505
71.5899,-24.024,135.127,69.7958,-14.4411,127.505
72.0554,-25.1397,136.197,69.9218,-15.8969,128.559
71.7528,-25.4977,136.197,69.6872,-16.1657,128.559
72.7892,-26.1149,137.38,71.1948,-16.0387,129.616
72.8355,-26.0599,137.38,71.6771,-15.4843,129.616
73.8574,-26.7924,138.626,72.5058,-16.7019,131.051
74.4367,-26.1005,138.626,72.4502,-16.7661,131.051
74.0756,-28.5119,139.888,73.6348,-17.3008,132.31
74.2702,-28.2786,139.888,73.5109,-17.4449,132.31
76.4759,-27.7812,141.26,73.8165,-19.0623,133.604
75.8049,-28.5888,141.26,73.9017,-18.9625,133.604
77.0427,-29.0157,142.481,75.1156,-19.8725,135.127
77.0048,-29.0614,142.481,74.9821,-20.0297,135.127
78.0075,-29.8896,143.777,76.4354,-19.9568,136.197
78.0985,-29.7795,143.777,76.5726,-19.7945,136.197
78.7292,-30.9906,145.049,77.8727,-20.0737,137.38
78.6323,-31.1068,145.049,77.9552,-19.9757,137.38
79.4458,-31.8039,146.165,78.9016,-20.7681,138.626
79.422,-31.8317,146.165,78.971,-20.6852,138.626
80.2298,-32.5424,147.285,79.9329,-21.4872,139.888
80.2507,-32.5186,147.285,79.8406,-21.5979,139.888
81.1847,-33.571,148.645,80.2476,-23.2419,141.26
81.2191,-33.531,148.645,80.4142,-23.0414,141.26
82.4794,-34.293,149.954,80.6481,-24.6636,142.481
82.5745,-34.1721,149.954,80.5156,-24.8236,142.481
83.8802,-35.0411,151.248,81.4553,-25.7153,143.777
83.8548,-35.0799,151.248,81.4497,-25.722,143.777
85.0692,-36.5433,152.481,82.6617,-26.2706,145.049
84.8968,-36.9208,152.481,82.8226,-26.0775,145.049
86.8219,-38.6593,153.752,83.7037,-26.8317,146.165
86.8503,-38.523,153.752,83.6157,-26.9345,146.165
89.5184,-39.5352,154.972,84.4252,-27.771,147.285
89.5273,-39.7045,154.972,84.4279,-27.7679,147.285
91.9933,-39.6913,155.847,85.4345,-28.6342,148.645
94.5347,-38.4985,157.13,85.48,-28.5813,148.645
93.6703,-36.9072,157.13,86.345,-29.3825,149.954
94.2713,-33.6428,158.552,86.3547,-29.3702,149.954
94.7069,-34.1336,158.552,87.2271,-29.9277,151.248
96.4677,-32.9503,160.025,87.0581,-30.1859,151.248
96.2084,-32.7343,160.025,87.587,-31.0308,152.481
97.1643,-31.5008,161.438,87.6028,-30.9961,152.481
97.654,-31.8789,161.438,88.3099,-31.5278,153.752
97.9394,-30.6269,162.798,88.2695,-31.7213,153.752
98.6453,-29.9591,164.132,89.0907,-31.3847,154.972
98.9009,-28.9197,165.453,89.0733,-31.0535,154.972
98.8286,-28.8251,165.453,89.3487,-30.5489,155.847
99.3042,-28.3314,166.696,89.3209,-30.4529,155.847
99.3506,-28.424,166.696,89.6724,-29.5478,157.13
100.21,-29.0092,168.055,89.7401,-29.6724,157.13
100.199,-28.9657,168.055,89.9006,-28.7188,158.552
100.726,-28.6645,169.427,89.7408,-28.5388,158.552
100.724,-28.523,169.427,90.7416,-28.1809,160.025
101.386,-28.9933,170.783,90.7284,-28.1699,160.025
101.371,-29.0706,170.783,91.3649,-27.0223,161.438
101.764,-29.3644,171.815,91.3222,-26.9894,161.438
101.748,-29.4089,171.815,92.4585,-25.9579,162.798
102.406,-30.1376,173.262,93.8892,-25.0991,164.132
102.363,-30.2175,173.262,94.0268,-25.2398,164.132
102.848,-30.5786,174.294,95.315,-24.2305,165.453
103.806,-31.3623,175.829,95.393,-24.3324,165.453
104.346,-31.8747,176.854,96.3836,-22.504,166.696
105.182,-32.769,178.339,96.3444,-22.4257,166.696
105.683,-33.3892,179.409,98.2109,-20.9115,168.055
106.574,-34.1646,180.881,98.3075,-21.3029,168.055
106.677,-34.0922,180.881,100.634,-19.8103,169.427
107.408,-34.7256,182.233,100.622,-18.607,169.427
107.535,-34.6589,182.233,103.064,-20.1941,170.783
107.803,-35.4007,183.58,103.064,-20.1941,170.783
107.738,-35.421,183.58,104.542,-21.7697,171.815
107.062,-36.149,184.951,104.466,-21.9767,171.815
106.836,-36.1648,184.951,105.627,-24.1719,173.262
106.557,-36.6853,186.373,105.676,-24.0799,173.262
106.251,-37.2258,187.837,106.692,-24.9854,174.294
105.945,-37.7212,188.932,106.672,-25.0145,174.294
106.316,-37.9219,188.932,108.264,-25.8099,175.829
106.624,-38.9939,189.964,107.948,-26.204,175.829
106.572,-38.9596,189.964,109.315,-26.5042,176.854
105.286,-39.1728,191.097,109.657,-26.1352,176.854
105.136,-39.0596,191.097,110.855,-27.387,178.339
104.538,-39.7535,192.229,110.942,-27.3049,178.339
104.431,-39.6624,192.229,111.253,-28.7844,179.409
103.69,-40.3065,193.385,111.192,-28.8342,179.409
103.812,-40.4199,193.385,111.908,-30.4425,180.881
103.77,-41.9501,194.605,112.15,-30.2736,180.881
103.694,-41.875,194.605,116.081,-30.1805,182.233
102.768,-42.5258,195.738,117.416,-32.4354,183.58
103.286,-43.0381,195.738,117.809,-35.4003,184.951
101.736,-43.271,196.997,117.47,-35.4239,184.951
101.089,-42.6299,196.997,115.791,-38.1128,186.373
98.6442,-41.8236,198.142,113.829,-37.8094,186.373
98.3056,-41.4882,198.142,113.836,-40.1443,187.837
97.4419,-42.3656,199.352,113.497,-40.0138,187.837
96.396,-43.4301,200.837,111.219,-40.5751,188.932
95.5513,-44.2964,202.02,111.945,-40.9677,188.932
94.4852,-45.3964,203.53,111.462,-42.1733,189.964
95.6616,-46.5365,203.53,111.593,-42.2591,189.964
94.9153,-47.3073,204.6,110.43,-43.0691,191.097
93.7383,-46.1679,204.6,110.459,-43.0915,191.097
92.956,-46.9784,205.716,109.557,-44.0192,192.229
94.6704,-48.6332,205.716,109.621,-44.0733,192.229
94.951,-50.451,206.824,108.96,-45.2079,193.385
94.4016,-49.9224,206.824,108.902,-45.1537,193.385
92.2516,-49.3375,207.881,107.997,-46.0808,194.605
91.4387,-48.5585,207.881,107.906,-45.9923,194.605
90.7049,-49.3186,208.964,106.913,-46.6291,195.738
92.4194,-50.9735,208.964,106.406,-46.1265,195.738
92.8634,-53.1643,210.335,105.587,-47.0895,196.997
92.0504,-52.3203,210.335,106.082,-47.5804,196.997
91.2439,-52.9704,211.679,105.683,-48.7948,198.142
90.6329,-53.4369,212.95,105.708,-48.8198,198.142
90.7055,-53.5518,212.95,105.693,-50.4881,199.352
90.5225,-54.3752,214.12,106.067,-50.8564,199.352
90.5225,-54.3752,214.12,105.098,-51.979,200.837
90.1083,-54.7679,215.215,105.184,-52.0644,200.837
90.1353,-54.925,215.215,104.443,-52.9658,202.02
89.3881,-55.1801,216.536,104.024,-52.5578,202.02
89.3868,-55.1991,216.536,102.922,-53.5731,203.53
88.7565,-54.7212,217.681,102.53,-53.1932,203.53
88.7988,-54.5676,217.681,100.751,-52.9563,204.6
88.3204,-53.9337,218.933,100.696,-52.9031,204.6
88.3282,-53.9189,218.933,100.666,-54.4208,205.716
87.6021,-53.8136,220.015,101.048,-54.7893,205.716
87.5367,-53.9019,220.015,100.822,-56.0993,206.824
86.9986,-53.2104,221.022,101.315,-56.5734,206.824
87.1304,-53.0544,221.022,100.24,-56.9919,207.881
86.4236,-52.0236,222.303,99.7598,-56.5322,207.881
86.3613,-52.0937,222.303,100.112,-58.3986,208.964
85.5229,-51.1997,223.562,98.7958,-57.1285,208.964
85.3861,-51.3497,223.562,96.5566,-56.9983,210.335
84.545,-50.4599,224.794,97.4742,-57.9508,210.335
84.3167,-50.7082,224.794,96.4043,-59.2259,211.679
83.032,-50.1882,226.1,96.0822,-58.8354,211.679
83.3348,-49.8617,226.1,94.9442,-60.2618,212.95
82.5644,-49.154,227.135,95.3327,-60.8768,212.95
82.5377,-49.1831,227.135,93.1052,-60.883,214.12
81.5919,-48.183,228.507,91.2302,-61.2925,215.215
81.4007,-48.3914,228.507,90.4459,-61.3603,215.517
80.8365,-47.3394,229.622,88.9475,-61.2814,216.536
81.0062,-47.1528,229.622,86.2512,-63.8347,217.681
79.9868,-46.365,230.881,83.7377,-62.7027,218.933
80.0336,-46.3125,230.881,84.9296,-60.4219,218.933
79.2876,-45.526,231.945,84.633,-57.825,220.015
79.2767,-45.5383,231.945,84.0981,-58.5477,220.015
78.3441,-44.8463,233.091,83.6247,-57.2026,221.022
78.3415,-44.8492,233.091,83.7265,-57.0822,221.022
77.4229,-44.0494,234.299,82.4455,-56.4985,222.303
77.133,-44.3823,234.299,82.1714,-56.8067,222.303
75.8926,-43.7857,235.62,81.0745,-56.0774,223.562
75.813,-43.8776,235.62,81.326,-55.8016,223.562
74.8549,-42.7074,237.113,80.6985,-54.6429,224.794
75.1868,-42.3247,237.113,80.5166,-54.8406,224.794
74.1862,-41.3338,238.522,79.5497,-53.9442,226.1
74.308,-41.1939,238.522,79.5622,-53.9306,226.1
73.52,-40.3752,239.655,78.7447,-53.3121,227.135
72.7781,-39.4641,240.813,78.9249,-53.1159,227.135
72.6601,-39.5996,240.813,77.5685,-52.567,228.507
71.4342,-39.265,241.958,77.293,-52.8671,228.507
71.5214,-39.1649,241.958,76.5476,-52.0539,229.622
70.4659,-38.6424,243.098,75.3674,-51.5362,230.881
70.2655,-38.8721,243.098,77.2128,-49.4704,230.881
69.403,-38.1195,244.244,76.5613,-48.6105,231.945
69.5891,-37.9063,244.244,76.3999,-48.7932,231.945
68.7929,-37.2113,245.301,75.6942,-47.8692,233.091
68.2993,-37.7767,245.301,75.5992,-47.9775,233.091
68.8134,-35.4286,246.459,74.5555,-47.3428,234.299
68.9544,-35.267,246.459,74.4209,-47.4975,234.299
66.9503,-35.9552,247.516,72.4617,-47.7485,235.62
67.2341,-35.6305,247.516,73.6725,-46.35,235.62
66.4684,-34.9604,248.536,72.5351,-45.3822,237.113
66.8013,-34.5801,248.536,71.24,-46.8754,237.113
65.7061,-33.6195,249.996,69.9756,-46.1729,238.522
65.6113,-33.7275,249.996,70.109,-46.0197,238.522
64.5929,-32.8322,251.355,69.0118,-45.5534,239.655
64.6879,-32.7243,251.355,68.9522,-45.6219,239.655
63.3573,-32.3859,252.576,68.2664,-44.646,240.813
63.278,-32.4763,252.576,68.2179,-44.7017,240.813
62.5269,-31.6248,253.661,67.2889,-44.0221,241.958
62.1414,-32.0792,253.661,67.2799,-44.0325,241.958
61.6838,-30.3145,254.907,66.2901,-43.4304,243.098
62.9441,-28.5533,254.907,66.6232,-43.0484,243.098
60.7486,-28.7484,255.888,66.2957,-41.6803,244.244
58.9066,-28.2269,256.945,66.1159,-41.8863,244.244
57.9504,-28.1078,257.308,65.2564,-41.2625,245.301
56.155,-28.2149,258.44,65.2241,-41.2995,245.301
53.101,-25.8752,259.56,64.4156,-40.4639,246.459
50.7413,-27.1471,260.705,64.3835,-40.5007,246.459
49.974,-29.5409,261.773,63.5868,-39.8046,247.516
50.1174,-29.7082,261.773,63.619,-39.7678,247.516
49.1891,-30.9042,262.78,62.8501,-39.0949,248.536
49.3939,-31.1033,262.78,63.0533,-38.8627,248.536
49.5695,-33.5849,264.076,61.8991,-37.9596,249.996
50.4023,-34.2304,264.076,61.9045,-37.9534,249.996
50.4894,-35.853,265.149,60.9354,-36.9925,251.355
50.2466,-35.7088,265.149,60.7974,-37.1494,251.355
46.9741,-36.1476,266.256,59.8815,-36.3455,252.576
46.7369,-36.0687,266.256,59.8957,-36.3293,252.576
44.4298,-38.243,267.413,58.9867,-35.7977,253.661
44.1268,-38.221,267.413,59.0673,-35.7027,253.661
44.2944,-40.5361,268.206,58.4908,-34.7768,254.907
44.8397,-42.5311,269.024,58.455,-34.8267,254.907
46.1962,-45.0887,270.265,58.107,-34.3109,255.888
48.4292,-43.7049,270.265,58.0966,-34.3327,255.888
50.7126,-44.6866,271.662,57.5745,-33.9839,256.945
50.4194,-44.9616,271.662,57.5661,-34.0201,256.945
52.2701,-44.9404,272.694,57.5006,-33.9422,257.308
52.1235,-45.1045,272.694,57.5306,-33.5531,257.308
52.9742,-45.8414,273.776,56.6643,-33.807,258.44
52.739,-46.1131,273.776,56.7054,-34.2587,258.44
53.162,-47.4349,274.925,56.2418,-34.7731,259.56
52.9954,-47.6311,274.925,56.273,-34.8615,259.56
54.168,-48.1181,276.171,55.8275,-35.3184,260.705
54.3062,-47.9587,276.171,55.8251,-35.3144,260.705
55.0457,-49.0868,277.467,55.385,-35.8548,261.773
54.8872,-49.2699,277.467,55.3883,-35.8586,261.773
55.8076,-50.3293,278.851,54.8606,-36.417,262.78
55.8687,-50.2586,278.851,54.8213,-36.3788,262.78
56.8896,-51.2653,280.274,54.1431,-37.1298,264.076
57.4397,-50.626,280.274,54.1703,-37.1508,264.076
58.9296,-51.1408,281.734,53.7974,-37.8165,265.149
58.4619,-51.6863,281.734,53.7262,-37.7742,265.149
56.9559,-55.0045,282.746,53.8464,-38.4351,266.256
57.8857,-53.9186,282.746,53.283,-38.2475,266.256
59.5735,-53.8503,283.979,52.6091,-38.8386,267.413
59.7691,-53.6215,283.979,52.7618,-38.8497,267.413
61.5863,-53.3333,285.175,53.0209,-39.2745,268.206
61.5813,-53.3391,285.175,53.1192,-39.2603,268.206
60.9037,-55.9998,286.396,53.4749,-39.6666,269.024
59.7248,-57.3745,286.396,53.4811,-39.6645,269.024
60.5858,-58.1149,287.541,54.1678,-40.1485,270.265
61.5828,-58.9737,288.862,54.2712,-40.0844,270.265
63.6961,-58.2876,290.02,54.8634,-40.7929,271.662
63.8247,-58.1385,290.02,54.7773,-40.8737,271.662
64.5841,-59.3012,291.367,55.4698,-41.3591,272.694
64.4987,-59.3997,291.367,55.4808,-41.3469,272.694
65.3816,-60.1684,292.55,56.3324,-41.962,273.776
65.6559,-59.8533,292.55,56.3641,-41.9254,273.776
65.7821,-61.7384,293.897,57.1603,-42.7265,274.925
65.3429,-62.2406,293.897,57.132,-42.7598,274.925
68.9954,-59.8568,295.08,58.1513,-43.5209,276.171
69.0993,-59.7381,295.08,58.2281,-43.4324,276.171
70.1619,-60.548,296.414,58.8147,-44.734,277.467
70.1341,-60.5797,296.414,58.603,-44.9785,277.467
71.0114,-61.3506,297.584,59.9006,-45.5915,278.851
71.0022,-61.3612,297.584,60.2003,-45.2446,278.851
72.0544,-62.1615,298.906,61.2748,-46.1691,280.274
72.716,-61.4102,298.906,60.9442,-46.5533,280.274
72.5649,-63.3875,300.106,61.8915,-47.686,281.734
69.9759,-66.3147,300.106,62.0174,-47.5392,281.734
70.8822,-67.1184,301.327,62.8872,-48.0775,282.746
71.8308,-66.0488,301.327,62.8187,-48.1576,282.746
73.4608,-65.8612,302.435,63.8006,-48.9043,283.979
72.7588,-66.6483,302.435,63.8575,-48.8378,283.979
74.5109,-66.609,303.731,64.8166,-49.5577,285.175
74.7521,-66.3405,303.731,64.969,-49.3796,285.175
75.8748,-66.754,304.851,65.8377,-50.246,286.396
75.763,-66.8778,304.851,65.8377,-50.246,286.396
76.6352,-67.7967,306.122,66.7687,-50.9249,287.541
