road_first_x, road_first_y, road_second_x, road_second_y, road_third_x, road_third_y, road_fourth_x, road_fourth_y, 
-14.1863,-89.4894,-19.1092,-89.0216,-17.809,-74.8813,-12.8746,-75.3501
-28.1542,-88.0604,-43.3636,-86.6158,-41.6256,-72.5226,-26.7109,-74.135
-69.4987,-83.6171,-77.2207,-82.9772,-75.8549,-68.8431,-68.2205,-69.6756
-87.2875,-82.0313,-94.7733,-81.2852,-93.5887,-67.3354,-85.9835,-67.8913
-106.385,-80.1524,-110.703,-79.7185,-108.938,-65.6286,-104.762,-66.2468
-128.79,-77.5673,-136.433,-76.7697,-135.158,-62.8279,-127.384,-63.437
-140.548,-76.398,-152.454,-75.3161,-150.928,-61.1984,-139.292,-62.4544
-178.868,-72.8048,-186.316,-71.8757,-184.661,-57.9738,-177.438,-58.6769
-203.426,-69.9016,-212.698,-68.897,-211.113,-54.7858,-201.853,-55.9902
-232.789,-67.6496,-237.812,-67.2058,-236.464,-53.0699,-231.58,-53.5012
-309.395,-59.6927,-314.134,-59.3239,-313.004,-45.1689,-308.358,-45.5306
-316.516,-59.134,-322.695,-58.6158,-321.451,-44.4704,-315.385,-44.9791
-341.914,-56.5932,-347.23,-55.9742,-345.537,-41.8755,-340.325,-42.4824
