107.699,-7.20126
108.039,-7.2231
108.374,-7.24393
108.726,-7.26526
109.077,-7.28581
109.467,-7.30765
109.869,-7.32945
110.271,-7.35083
110.699,-7.37204
111.126,-7.3905
111.554,-7.4053
111.994,-7.41522
112.435,-7.41878
112.848,-7.41171
113.288,-7.39206
113.689,-7.35939
114.114,-7.30411
114.509,-7.22957
114.888,-7.13412
115.271,-7.01068
115.633,-6.86455
115.983,-6.69217
116.318,-6.49249
116.647,-6.26102
116.953,-6.00558
117.243,-5.72652
117.519,-5.41595
117.77,-5.08528
118.009,-4.71515
118.215,-4.34052
118.405,-3.92903
118.573,-3.49472
118.709,-3.06288
118.828,-2.6125
118.933,-2.13319
119.018,-1.65169
119.102,-1.14261
119.181,-0.619858
119.255,-0.0838013
119.324,0.452927
119.388,0.990295
119.449,1.54076
119.501,2.06674
119.551,2.61832
119.592,3.13264
119.632,3.65974
119.667,4.17317
119.704,4.7131
119.74,5.25311
119.774,5.78061
119.808,6.32069
119.841,6.8483
119.873,7.36336
119.903,7.87846
119.934,8.381
119.965,8.87085
120,9.34782
120.039,9.80267
120.083,10.2409
120.14,10.7158
120.202,11.1519
120.278,11.5859
120.363,11.9922
120.472,12.4062
120.596,12.8023
120.738,13.1791
120.897,13.5354
121.067,13.8585
121.275,14.1947
121.492,14.4877
121.748,14.7819
122.026,15.0556
122.334,15.3146
122.671,15.5578
123.046,15.7884
123.446,16.0006
123.883,16.1963
124.331,16.3639
124.825,16.5128
125.322,16.6253
125.856,16.7163
126.405,16.784
126.969,16.8354
127.547,16.8751
128.125,16.9019
128.427,16.9105
128.729,16.9159
129.044,16.9179
129.346,16.9166
129.648,16.9121
129.962,16.9044
130.264,16.8948
130.591,16.8822
130.906,16.8679
131.232,16.8513
131.856,16.8049
132.195,16.7827
132.522,16.7606
132.848,16.7377
133.187,16.7135
133.513,16.6899
133.84,16.666
134.179,16.641
134.505,16.617
134.857,16.5911
135.195,16.5662
135.534,16.5413
135.873,16.5163
