-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-3.08134,-8.23054,-12.4587,-16.4876,-20.2484,-23.6766,-26.7136,-29.3074,-31.4137,-32.9965,-34.0286,-34.4924,-34.3799,-33.6931,-32.4437,-30.6531,-13.5088,-77.6226,9.29767,464.826,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10.727,13.5617,9.37862,5.02118,0.563898,-3.91695,-8.3447,-12.6436,-16.7401,-20.5641,-24.0501,-27.1386,-29.7766,-31.9191,-33.5293,-34.5798,-35.0525,-34.9394,-34.2424,-32.9734,-19.2012,-75.8435,13.8198,15.6387,377.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10.727,13.5617,9.37862,5.02118,0.563898,-3.91695,-8.3447,-12.6436,-16.7401,-20.5641,-24.0501,-27.1386,-29.7766,-31.9191,-33.5293,-34.5798,-35.0525,-34.9394,-34.2424,-32.9734,-19.2012,-75.8435,13.8198,15.6387,377.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19.9938,21.8551,18.1142,14.0493,9.7302,5.23066,0.627697,-3.99993,-8.57304,-13.0134,-17.245,-21.1954,-24.7972,-27.9885,-30.7149,-32.9297,-34.5949,-35.6822,-36.1728,-36.0585,-33.5738,30.0438,214.143,15.6387,377.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,377.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-nan,-nan,-nan,-nan,-nan,-nan,31.6968,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-nan,-nan,-nan,-nan,-nan,-nan,31.6968,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15.2536,23.635,19.6646,15.3439,10.7466,5.95157,1.04077,-3.90175,-8.79144,-13.5446,-18.08,-22.3199,-26.1919,-29.6296,-32.5743,-34.9755,-36.7922,-37.9933,-38.5583,-38.4775,-37.7522,-36.3948,-34.4287,-17.5596,90.8857,258.846,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.6772,20.3408,15.9903,11.3524,6.50629,1.53493,-3.47661,-8.44259,-13.278,-17.9002,-22.23,-26.1934,-29.7225,-32.757,-35.245,-37.1438,-38.421,-39.0547,-39.0341,-38.3595,-37.0425,-35.1057,-32.582,-29.5149,-25.9566,-16.4509,240.54,227.092,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
