x,y,z,theta,kappa,s,dkappa
0.172592,-17.4173,0,1.76348,0.00800028,0,-0.000386503
-0.0229756,-16.4355,0,1.7713,0.00761673,1.00105,-0.000380977
-0.226023,-15.4553,0,1.77873,0.00723496,2.00209,-0.000383185
-0.436165,-14.4766,0,1.78578,0.00684637,3.00314,-0.000394954
-0.653007,-13.4993,0,1.79244,0.00644015,4.00419,-0.000418952
-0.876144,-12.5234,0,1.79867,0.00600227,5.00523,-0.00045896
-1.10514,-11.5489,0,1.80444,0.00551423,6.00628,-0.000520134
-1.3395,-10.5757,0,1.80968,0.00495169,7.00733,-0.000608945
-1.57867,-9.60364,0,1.81431,0.00428362,8.00837,-0.000731919
-1.822,-8.63261,0,1.81821,0.00347422,9.00942,-0.000890569
-2.06869,-7.66244,0,1.82121,0.00249445,10.0105,-0.00106585
-2.31779,-6.69288,0,1.82315,0.00135985,11.0115,-0.00117796
-2.5682,-5.72366,0,1.82391,0.000111846,12.0126,-0.00142105
-2.81869,-4.75446,0,1.82324,-0.00150457,13.0136,-0.00178487
-3.0677,-3.78488,0,1.82081,-0.00337362,14.0147,-0.0018827
-3.31345,-2.81447,0,1.81654,-0.00509666,15.0157,-0.00145357
-3.5543,-1.84283,0,1.81086,-0.00605997,16.0167,-0.000364443
-3.78936,-0.869771,0,1.80486,-0.00565415,17.0178,0.0012339
-4.01905,0.104567,0,1.80009,-0.00370438,18.0188,0.0021735
-4.24511,1.07975,0,1.79741,-0.00173751,19.0199,0.00169941
-4.46943,2.05534,0,1.7964,-0.000395976,20.0209,0.000945329
-4.69329,3.03104,0,1.79634,0.000107652,21.022,4.79907e-05
-4.91718,4.00673,0,1.79631,-0.000309735,22.023,-0.000881346
-5.14069,4.9825,0,1.79542,-0.001556,23.0241,-0.00125383
-5.36272,5.95862,0,1.79334,-0.00249711,24.0251,-0.00062676
-5.58236,6.93527,0,1.79063,-0.00281195,25.0262,-3.2014e-06
-5.7993,7.91253,0,1.78791,-0.00250661,26.0272,0.000610943
-6.01384,8.89031,0,1.78581,-0.00159533,27.0283,0.00120534
-6.22687,9.86843,0,1.78491,-0.000134845,28.0293,0.00157939
-6.43976,10.8466,0,1.78556,0.00142613,29.0304,0.00153696
-6.65405,11.8244,0,1.78775,0.00293868,30.0314,0.00148368
-6.8712,12.8016,0,1.79142,0.0043949,31.0324,0.00142529
-7.09265,13.7779,0,1.79653,0.00579218,32.0335,0.00136666
-7.31976,14.7528,0,1.803,0.00702547,33.0345,0.000103526
-7.55328,15.7262,0,1.80896,0.00379818,34.0356,-0.0064749
-7.78998,16.6989,0,1.80844,-0.00593432,35.0366,-0.0130743
-8.02032,17.6731,0,1.79469,-0.0229083,36.0377,-0.0213097
-8.22743,18.6524,0,1.7592,-0.05015,37.0387,-0.0342857
-8.38369,19.641,0,1.68848,-0.0950282,38.0398,-0.0577957
-8.44372,20.6396,0,1.56282,-0.157017,39.0408,-0.0640159
-8.34689,21.6344,0,1.37478,-0.216058,40.0419,-0.047971
-8.04186,22.5855,0,1.14196,-0.240412,41.0429,0.00315942
-7.52284,23.4389,0,0.911515,-0.212712,42.044,0.0462403
-6.8361,24.1652,0,0.723846,-0.162284,43.045,0.0466306
-6.03973,24.7704,0,0.582466,-0.122293,44.0461,0.0340012
-5.17469,25.2732,0,0.475547,-0.0926708,45.0471,0.0258897
-4.26639,25.6933,0,0.394875,-0.0692476,46.0481,0.0214139
-3.33095,26.0494,0,0.335875,-0.0489472,47.0492,0.0195025
-2.3791,26.3591,0,0.296453,-0.0303065,48.0502,0.016511
-1.41812,26.6394,0,0.273565,-0.0161957,49.0513,0.011862
-0.452623,26.9038,0,0.262625,-0.00631059,50.0523,0.00795831
0.514613,27.1618,0,0.259674,-0.000208738,51.0534,0.00422191
1.48199,27.4192,0,0.260934,0.00206666,52.0544,0.000267599
2.44891,27.6784,0,0.262447,0.0003876,53.0555,-0.00266564
3.41574,27.9379,0,0.26163,-0.00188345,54.0565,-0.00185583
4.38303,28.1956,0,0.258961,-0.00330251,55.0576,-0.00096964
5.35115,28.4503,0,0.255323,-0.00381081,56.0586,-4.13628e-05
6.32022,28.7013,0,0.251645,-0.00338002,57.0597,0.000903202
7.29011,28.9491,0,0.24887,-0.00202709,58.0607,0.00158902
8.26051,29.1949,0,0.247568,-0.000642822,59.0618,0.00117523
9.23107,29.44,0,0.247444,0.000323662,60.0628,0.000754901
10.2016,29.6855,0,0.248075,0.000867363,61.0638,0.000330958
11.1718,29.9317,0,0.249038,0.000985759,62.0649,-9.45503e-05
12.1419,30.1789,0,0.249907,0.000683355,63.0659,-0.000452645
13.1118,30.4268,0,0.250364,0.000229948,64.067,-0.000453189
14.0816,30.6748,0,0.250367,-0.000223919,65.068,-0.000453577
15.0515,30.9226,0,0.249916,-0.000678126,66.0691,-0.000453877
16.0215,31.1698,0,0.249009,-0.00113261,67.0701,-0.000454149
16.9919,31.4159,0,0.247648,-0.00158505,68.0712,-0.000418858
17.9626,31.6605,0,0.245897,-0.00186839,69.0722,-0.000147207
18.9337,31.9032,0,0.243998,-0.00187976,70.0733,0.000124489
19.9054,32.1442,0,0.242224,-0.00161914,71.0743,0.00039621
20.8774,32.3836,0,0.240847,-0.00108651,72.0754,0.00066794
21.8496,32.6219,0,0.24014,-0.000284191,73.0764,0.000894249
22.8219,32.86,0,0.240275,0.00052563,74.0775,0.000723701
23.7941,33.0986,0,0.241135,0.00116472,75.0785,0.000553146
24.7661,33.3383,0,0.24255,0.00163307,76.0795,0.000382563
25.7376,33.5796,0,0.244348,0.00193064,77.0806,0.000211945
26.7087,33.8227,0,0.246358,0.00205764,78.0816,4.79663e-05
27.6792,34.0679,0,0.248428,0.00206482,79.0827,-3.36205e-05
28.6493,34.315,0,0.250465,0.00199033,80.0837,-0.000115206
29.6189,34.5641,0,0.252386,0.00183417,81.0848,-0.000196782
30.588,34.8149,0,0.25411,0.00159636,82.0858,-0.000278341
31.5567,35.0673,0,0.255555,0.00127713,83.0869,-0.000350831
32.5251,35.3209,0,0.256676,0.0009814,84.0879,-0.000240009
33.4932,35.5754,0,0.257556,0.000796606,85.089,-0.000129195
34.4611,35.8308,0,0.258308,0.000722738,86.09,-1.83863e-05
35.4289,36.0869,0,0.25904,0.000759794,87.0911,9.24211e-05
36.3964,36.3437,0,0.259866,0.000907745,88.0921,0.000200187
37.3637,36.6014,0,0.260867,0.00108442,89.0932,0.000152794
38.3308,36.8601,0,0.262021,0.00121365,90.0942,0.000105398
39.2975,37.12,0,0.263281,0.00129544,91.0952,5.79997e-05
40.2639,37.3812,0,0.264599,0.00132977,92.0963,1.0601e-05
41.2299,37.6436,0,0.265927,0.00131666,93.0973,-3.67962e-05
42.1956,37.9073,0,0.26722,0.00125766,94.0984,-8.106e-05
43.1609,38.1722,0,0.268431,0.00115437,95.0994,-0.000125297
44.126,38.4383,0,0.269516,0.0010068,96.1005,-0.000169534
45.0908,38.7053,0,0.270432,0.000814949,97.1015,-0.000213769
46.0553,38.973,0,0.271133,0.000578817,98.1026,-0.000258003
47.0197,39.2414,0,0.271589,0.00034108,99.1036,-0.000213756
47.9841,39.5101,0,0.271832,0.000150918,100.105,-0.000166171
48.9483,39.7789,0,0.271907,8.38949e-06,101.106,-0.000118587
49.9126,40.0477,0,0.271864,-8.65055e-05,102.107,-7.10042e-05
50.8769,40.3165,0,0.27175,-0.000133768,103.108,-2.34213e-05
51.8412,40.5851,0,0.271593,-0.000193894,104.109,-0.000105
52.8056,40.8535,0,0.271332,-0.000344272,105.11,-0.000195442
53.7701,41.1216,0,0.270874,-0.000585188,106.111,-0.000285888
54.7347,41.3892,0,0.27013,-0.000916649,107.112,-0.000376343
55.6996,41.6558,0,0.269009,-0.00133867,108.113,-0.000466809
56.6649,41.9211,0,0.267457,-0.00172702,109.114,-0.000283913
57.6306,42.1848,0,0.265621,-0.0019058,110.115,-7.32738e-05
58.5968,42.4467,0,0.263712,-0.00187371,111.116,0.000137381
