x,y,z,theta,kappa,s,dkappa
48.8622,-78.7923,0,-2.32708,-0.0473847,0,0.0489556
48.1617,-79.5087,0,-2.35871,-0.0212891,1.00194,0.0134887
47.4453,-80.2091,0,-2.37495,-0.0123631,2.00388,0.00583003
46.7199,-80.9002,0,-2.38496,-0.00805458,3.00582,0.00316579
45.9889,-81.5854,0,-2.39167,-0.00554198,4.00776,0.00199248
45.2541,-82.2665,0,-2.39634,-0.00387156,5.0097,0.00140512
44.5166,-82.9447,0,-2.39957,-0.00263555,6.01164,0.00109472
43.7772,-83.621,0,-2.40169,-0.00162825,7.01358,0.000934796
43.0368,-84.296,0,-2.40287,-0.00073323,8.01552,0.00086239
42.2959,-84.9705,0,-2.40318,0.000112361,9.01746,0.000826165
41.5551,-85.6451,0,-2.40266,0.00090455,10.0194,0.00073212
40.8148,-86.3203,0,-2.40144,0.00148147,11.0213,0.000333181
40.0755,-86.9966,0,-2.39989,0.00153381,12.0233,-5.92351e-05
39.3373,-87.674,0,-2.39841,0.00140132,13.0252,-0.000214676
38.6,-88.3524,0,-2.39715,0.00109005,14.0272,-0.000408529
37.8634,-89.0316,0,-2.39629,0.000596212,15.0291,-0.000559709
37.1273,-89.7113,0,-2.39598,2.71678e-05,16.031,-0.000536739
36.3911,-90.391,0,-2.39618,-0.000391918,17.033,-0.000257279
35.6547,-91.0704,0,-2.39663,-0.000419971,18.0349,0.000199702
34.9181,-91.7495,0,-2.3969,-6.95468e-05,19.0369,0.000505077
34.1814,-92.4286,0,-2.39667,0.00059534,20.0388,0.000820456
33.4451,-93.1082,0,-2.39561,0.00156705,21.0407,0.00111439
32.71,-93.7889,0,-2.39343,0.00282003,22.0427,0.00138419
31.9767,-94.4718,0,-2.38987,0.00434199,23.0446,0.0016543
31.2465,-95.1578,0,-2.38483,0.00557307,24.0466,0.000803717
30.52,-95.8478,0,-2.37898,0.005954,25.0485,-4.24484e-05
29.7976,-96.542,0,-2.37318,0.00549023,26.0504,-0.000881951
29.079,-97.2402,0,-2.36826,0.00418984,27.0524,-0.001712
28.3632,-97.9414,0,-2.36506,0.0020636,28.0543,-0.00253007
27.649,-98.644,0,-2.36416,-0.000123575,29.0563,-0.00175786
26.9346,-99.3466,0,-2.36502,-0.00146104,30.0582,-0.000914244
