optimized_right_x,optimized_right_y,optimized_left_x,optimized_left_y
-8.7386,-10.4665,-6.13713,-24.4262
-9.06029,-10.5265,-6.45882,-24.4861
-8.58883,-13.0563,-7.4192,-19.3327
-9.22713,-15.4686,-8.47114,-19.5285
-9.38563,-14.6174,-7.51149,-24.6821
-10.5832,-15.4348,-8.80649,-24.9246
-10.5746,-15.4809,-8.99943,-23.8941
-12.0569,-15.8563,-10.8411,-22.3031
-12.0599,-15.8405,-10.7201,-22.9449
-13.0999,-16.137,-11.3231,-25.4025
-13.1058,-16.1061,-11.7101,-23.3841
-14.2504,-16.3297,-13.465,-20.3489
-14.2024,-16.5753,-13.5318,-20.0073
-15.6047,-16.9369,-14.5948,-21.9876
-15.6433,-16.7439,-14.7069,-21.4268
-16.8387,-16.7954,-15.9227,-21.263
-16.8401,-16.7882,-15.9792,-20.9875
-17.9618,-17.1192,-17.1071,-21.2224
-17.9618,-17.1192,-17.1241,-21.1407
-19.0631,-17.3512,-18.2162,-21.3708
-19.0541,-17.394,-18.0758,-22.0373
-20.1368,-17.5303,-19.3783,-21.0919
-20.1329,-17.549,-19.2656,-21.6214
-21.115,-17.8532,-20.2587,-21.835
-21.1188,-17.8358,-20.2929,-21.6761
-22.5284,-18.1418,-21.6442,-22.2141
-22.524,-18.1619,-21.6734,-22.0798
-23.7852,-18.7166,-23.0003,-22.3015
-23.7666,-18.8016,-22.9602,-22.4847
-25.059,-18.9173,-24.2106,-22.7607
-25.0765,-18.8379,-24.2376,-22.6386
-26.3517,-19.1204,-25.4621,-23.1356
-26.3605,-19.0808,-25.4887,-23.0153
-27.6642,-19.3706,-26.8453,-23.0548
-27.5935,-19.6891,-26.8175,-23.18
-29.2085,-18.8818,-28.1954,-23.4083
-29.4242,-17.9184,-28.3075,-22.9074
-30.9163,-17.7425,-29.5164,-23.9443
-30.832,-18.116,-29.5597,-23.7526
-31.9952,-19.0202,-30.851,-24.0465
-31.8708,-19.5667,-30.8695,-23.9652
-32.883,-20.8614,-32.2225,-23.741
-32.9502,-20.5681,-32.1618,-24.0054
-34.2422,-20.8674,-33.3847,-24.5694
-34.2422,-20.8674,-33.346,-24.7368
-35.6431,-21.1944,-34.8841,-24.4461
-35.5877,-21.4318,-34.9054,-24.3548
-37.0166,-21.9948,-36.0614,-26.0479
-37.0381,-21.9036,-34.9902,-30.5937
-38.086,-21.8945,-35.9877,-30.828
-38.1139,-21.7759,-38.1663,-26.0971
-39.1326,-21.9167,-38.5106,-29.2528
-39.1298,-21.9287,-39.2032,-26.2175
-40.0891,-22.3349,-40.824,-25.7657
-40.0881,-22.3395,-40.8257,-25.7584
-41.545,-22.5755,-41.5771,-27.1153
-41.5576,-22.5198,-41.7872,-26.1856
-42.5642,-22.7473,-42.7923,-26.4138
-42.5463,-22.8265,-41.5049,-32.0835
-43.5746,-22.9687,-42.5036,-32.3114
-43.5843,-22.926,-43.5159,-32.5434
-44.5109,-23.5157,-44.5223,-32.7739
-44.4811,-23.6462,-45.5845,-33.0156
-45.5185,-23.803,-47.2288,-30.9266
-45.5559,-23.6396,-47.3299,-30.479
-46.7087,-23.2283,-48.6333,-29.9652
-46.7119,-23.2146,-48.5695,-30.2479
-47.7392,-23.5456,-49.6641,-30.6971
-47.7174,-23.6411,-49.6505,-30.7571
-48.7401,-24.2374,-50.8494,-31.0303
-48.7488,-24.199,-50.8631,-30.9703
-49.939,-24.1846,-52.0934,-31.0514
-49.9283,-24.2319,-52.1105,-30.9768
-51.0917,-24.4045,-53.3132,-31.3512
-51.0789,-24.4612,-53.3145,-31.3457
-52.2647,-24.8192,-54.6462,-31.2637
-52.2522,-24.874,-54.6446,-31.2708
-53.447,-25.148,-55.7723,-32.0219
-53.416,-25.2836,-55.7796,-31.9905
-54.644,-25.566,-57.1151,-32.0117
-54.7,-25.3224,-57.0948,-32.099
-55.9738,-25.5257,-58.3423,-32.4918
-55.9345,-25.6955,-58.3567,-32.4305
-57.1211,-26.2138,-59.6379,-32.6379
-57.1733,-25.9887,-59.6434,-32.6148
-58.5584,-25.8223,-60.5939,-33.0381
-58.5584,-25.8223,-60.6091,-32.9748
-59.7927,-26.3076,-61.6345,-33.0348
-59.7794,-26.3642,-61.6145,-33.1168
-61.039,-26.7588,-62.5987,-33.4569
-61.0614,-26.6646,-62.6195,-33.3719
-62.0709,-26.9078,-63.7286,-33.2667
-62.0365,-27.0506,-63.7111,-33.3372
-62.9909,-27.4657,-64.6747,-33.7734
-62.9918,-27.4618,-64.6759,-33.7684
-64.011,-27.7123,-65.6741,-34.1163
-63.9796,-27.8398,-65.6414,-34.2467
-65.0859,-27.7853,-66.6847,-34.3035
-65.1738,-27.4304,-66.7187,-34.1686
-67.2299,-23.5111,-67.7426,-34.4272
-66.7003,-25.6383,-67.7414,-34.4319
-67.1408,-28.2581,-68.677,-35.0576
-67.3153,-27.5609,-68.677,-35.0576
-68.3208,-27.8144,-69.745,-35.2266
-68.3203,-27.8166,-69.7616,-35.1603
-69.3464,-28.0757,-70.7609,-35.5024
-69.3294,-28.1432,-70.7391,-35.5904
-70.3746,-28.3112,-71.844,-35.5661
-70.3929,-28.2385,-71.8482,-35.5488
-71.4016,-28.5884,-72.9419,-35.6182
-71.2972,-29.0068,-72.9463,-35.6
-72.1769,-29.7765,-73.8549,-36.2996
-72.0423,-30.321,-73.8871,-36.1647
-73.5082,-28.7566,-75.0145,-35.9737
-74.3554,-25.2904,-74.9632,-36.1904
-75.3763,-25.5369,-75.9875,-36.4303
-76.3705,-25.7745,-75.987,-36.4325
