road_first_x, road_first_y, road_second_x, road_second_y, road_third_x, road_third_y, road_fourth_x, road_fourth_y, 
61.7598,57.9965,67.7931,59.1788,70.5046,45.4439,64.3845,44.2447
32.2304,52.4724,37.8145,53.6181,40.6768,39.7096,35.0688,38.559
62.978,58.2322,70.7869,59.8774,73.5745,45.9537,65.6376,44.4872
81.9908,62.1669,88.3515,63.5153,91.3184,49.6287,84.8922,48.2665
121.136,69.6945,130.08,71.2737,133.031,57.5883,122.878,55.6018
134.732,72.3539,144.612,74.7338,147.552,60.8417,137.966,58.7326
172.509,80.0411,178.669,81.2862,181.493,67.5741,175.195,66.3012
197.329,85.0549,202.72,86.107,205.434,72.1687,200.022,71.1126
224.128,90.1751,228.704,91.0261,231.248,77.0558,226.813,76.2314
331.394,111.035,336.629,112,339.196,98.0342,333.984,97.0728
