x,y,z,theta,kappa,s,dkappa
63.9238,-52.4849,0,-1.506,-0.0127959,0,-0.00116424
63.9825,-53.4935,0,-1.51954,-0.0140174,1.01027,-0.001249
64.0269,-54.5028,0,-1.53435,-0.0153044,2.02053,-0.00128818
64.0556,-55.5126,0,-1.55046,-0.0165892,3.0308,-0.00123441
64.0675,-56.5228,0,-1.56782,-0.017742,4.04106,-0.0010112
64.0613,-57.533,0,-1.58619,-0.0185379,5.05133,-0.000506454
64.0362,-58.543,0,-1.60504,-0.018624,6.0616,0.000417181
63.9923,-59.5523,0,-1.62342,-0.0175168,7.07186,0.00186428
63.9306,-60.5606,0,-1.63986,-0.0147013,8.08213,0.00376039
63.8541,-61.568,0,-1.65246,-0.00992184,9.0924,0.00562839
63.7677,-62.5746,0,-1.6594,-0.00367059,10.1027,0.0064732
63.6775,-63.5808,0,-1.65992,0.00240458,11.1129,0.00509982
63.5896,-64.5872,0,-1.6555,0.00562487,12.1232,0.000748501
63.5069,-65.5941,0,-1.65014,0.00470428,13.1335,-0.00131907
63.429,-66.6014,0,-1.64611,0.00324314,14.1437,-0.00155789
63.3543,-67.6089,0,-1.64365,0.00160494,15.154,-0.00165206
63.2813,-68.6165,0,-1.64286,-7.99908e-06,16.1643,-0.00148836
63.2083,-69.6241,0,-1.64355,-0.00127934,17.1745,-0.000961279
63.1341,-70.6317,0,-1.6452,-0.00181005,18.1848,-2.1115e-05
63.0582,-71.6391,0,-1.64683,-0.00121782,19.1951,0.00105663
62.981,-72.6464,0,-1.6475,-9.86827e-05,20.2053,0.00114289
62.9037,-73.6537,0,-1.64701,0.00105978,21.2156,0.00113612
62.8275,-74.6611,0,-1.64537,0.00217275,22.2259,0.00105821
62.7535,-75.6686,0,-1.64266,0.0031865,23.2361,0.000946411
62.6828,-76.6764,0,-1.63897,0.00408672,24.2464,0.000839478
62.6162,-77.6845,0,-1.63444,0.00485122,25.2567,0.000640947
62.5545,-78.6929,0,-1.62925,0.00537447,26.2669,0.000394876
62.4983,-79.7016,0,-1.62367,0.00564899,27.2772,0.000148543
62.4478,-80.7106,0,-1.61792,0.00567457,28.2875,-9.78893e-05
62.403,-81.7198,0,-1.61228,0.00545124,29.2977,-0.00034421
62.3638,-82.7293,0,-1.60699,0.00499889,30.308,-0.000461822
62.3298,-83.739,0,-1.60215,0.0046112,31.3183,-0.000313135
62.3004,-84.7489,0,-1.59763,0.00435198,32.3285,-0.00020686
62.2755,-85.7588,0,-1.59333,0.00417955,33.3388,-0.000141239
62.2548,-86.7689,0,-1.58917,0.0040532,34.349,-0.000115261
62.2383,-87.779,0,-1.58514,0.00393489,35.3593,-0.000124028
62.2258,-88.7892,0,-1.58132,0.00345788,36.3696,-0.000925198
62.2167,-89.7994,0,-1.57843,0.00216746,37.3798,-0.00156703
62.2098,-90.8097,0,-1.5771,0.000415541,38.3901,-0.00184382
62.2034,-91.8199,0,-1.57763,-0.00145651,39.4004,-0.00182043
62.1954,-92.8301,0,-1.58,-0.00319691,40.4106,-0.0016015
62.1842,-93.8403,0,-1.58399,-0.00466125,41.4209,-0.00128917
62.1683,-94.8505,0,-1.5893,-0.00574409,42.4312,-0.000621775
62.1466,-95.8605,0,-1.5952,-0.00572786,43.4414,0.000588599
62.1192,-96.8704,0,-1.60053,-0.00471381,44.4517,0.00132988
62.087,-97.8802,0,-1.60456,-0.00321994,45.462,0.00154707
62.0515,-98.8898,0,-1.60704,-0.00171675,46.4722,0.00138395
62.0143,-99.8994,0,-1.60812,-0.000477608,47.4825,0.00105796
61.9765,-100.909,0,-1.60812,0.000419893,48.4928,0.000725846
61.9391,-101.919,0,-1.60737,0.00101071,49.503,0.000456366
61.9028,-102.928,0,-1.60616,0.0013674,50.5133,0.000261608
61.8678,-103.938,0,-1.60467,0.00156063,51.5236,0.000130075
61.8344,-104.947,0,-1.60304,0.00164589,52.5338,4.51588e-05
61.8027,-105.957,0,-1.60136,0.00166263,53.5441,-7.68794e-06
61.7726,-106.967,0,-1.59969,0.00163747,54.5544,-3.9306e-05
