x,y,z,theta,kappa,s,dkappa
38.8056,-38.5613,0,2.82817,0.00631091,0,-2.62566e-05
37.85,-38.2549,0,2.8345,0.00631358,1.00359,3.10919e-05
36.8924,-37.9546,0,2.84086,0.00637248,2.00718,8.59044e-05
35.9329,-37.6604,0,2.84731,0.00648515,3.01077,0.000138117
34.9715,-37.3724,0,2.8539,0.00664824,4.01435,0.000185854
34.0082,-37.0909,0,2.86067,0.00685501,5.01794,0.000223877
33.043,-36.816,0,2.86767,0.00709054,6.02153,0.000240384
32.0758,-36.548,0,2.8749,0.00732225,7.02512,0.000210448
31.1068,-36.2871,0,2.88234,0.0074808,8.02871,8.27396e-05
30.1358,-36.0335,0,2.88985,0.00742201,9.0323,-0.000246367
29.1629,-35.7871,0,2.89707,0.00685351,10.0359,-0.000977584
28.1884,-35.5473,0,2.90325,0.00521079,11.0395,-0.00245747
27.2127,-35.3124,0,2.90691,0.00182444,12.0431,-0.00409111
26.2365,-35.0792,0,2.90647,-0.00289878,13.0466,-0.00525702
25.2611,-34.8431,0,2.9008,-0.00846572,14.0502,-0.00563208
24.2878,-34.5987,0,2.8896,-0.0136444,15.0538,-0.00435082
23.3178,-34.3412,0,2.87419,-0.0164942,16.0574,-0.00100604
22.3521,-34.0681,0,2.85789,-0.0151979,17.061,0.00370303
21.3905,-33.7806,0,2.84526,-0.00950973,18.0646,0.00609555
20.4318,-33.4839,0,2.83843,-0.00449507,19.0682,0.00376856
19.4745,-33.1826,0,2.83537,-0.00207442,20.0718,0.00103857
18.5179,-32.8791,0,2.83334,-0.00241129,21.0754,-0.00171486
17.5621,-32.5731,0,2.82958,-0.00559906,22.0789,-0.00473874
16.6082,-32.2614,0,2.82093,-0.0123437,23.0825,-0.00907267
15.6583,-31.9375,0,2.80279,-0.0251664,24.0861,-0.0172484
14.7173,-31.5889,0,2.76675,-0.0491041,25.0897,-0.0318608
13.7954,-31.1928,0,2.69777,-0.0924034,26.0933,-0.0559491
12.9155,-30.7114,0,2.57246,-0.160977,27.0969,-0.076597
12.1253,-30.0954,0,2.37596,-0.221677,28.1005,-0.0228372
11.4846,-29.3255,0,2.15739,-0.201413,29.1041,0.0506269
11.0087,-28.4434,0,1.98322,-0.145461,30.1077,0.0530461
10.667,-27.5004,0,1.86102,-0.101131,31.1112,0.0351028
10.424,-26.5271,0,1.77454,-0.0736163,32.1148,0.0206579
10.2544,-25.5381,0,1.70912,-0.0584862,33.1184,0.0105258
10.1438,-24.5407,0,1.65477,-0.0506034,34.122,0.00580947
10.0842,-23.539,0,1.60651,-0.0458794,35.1256,0.00398854
10.0708,-22.5356,0,1.56245,-0.041878,36.1292,0.00434301
10.0994,-21.5325,0,1.52294,-0.0364199,37.1328,0.00690765
10.1644,-20.531,0,1.49049,-0.0278424,38.1364,0.00900185
10.2574,-19.5318,0,1.46682,-0.0196444,39.1399,0.00710884
10.3703,-18.5346,0,1.45023,-0.0139173,40.1435,0.0041869
