optimized_right_x,optimized_right_y,optimized_right_s,optimized_left_x,optimized_left_y,optimized_left_s
-18.4473,-74.9533,0,-21.4594,-88.6254,0
-18.7914,-74.8775,0.352402,-21.8036,-88.5496,0.352402
-19.8437,-74.637,1.48513,-22.9598,-88.2858,1.48513
-20.7827,-78.7499,1.48513,-24.2984,-87.9659,2.78863
-22.0223,-78.4532,2.78863,-25.3781,-87.7071,3.89617
-22.0264,-78.4703,2.78863,-26.4959,-87.4407,5.05407
-23.0955,-78.1838,3.89617,-27.717,-87.1479,6.30009
-22.0917,-73.9955,3.89617,-28.9903,-86.8348,7.57086
-23.2267,-73.7249,5.05407,-30.2908,-86.5063,8.86719
-24.4288,-73.4366,6.30009,-31.6513,-86.2539,10.1887
-25.6229,-73.1428,7.57086,-31.4808,-85.6026,10.1887
-26.8354,-72.8362,8.86719,-32.0156,-82.5091,11.4599
-28.0564,-72.5164,10.1887,-31.9106,-82.1209,11.4599
-28.9009,-75.7437,10.1887,-33.8305,-84.0846,12.774
-30.5832,-77.2131,11.4599,-34.234,-85.549,12.774
-30.5506,-77.0925,11.4599,-35.5949,-85.1736,14.1837
-31.2466,-74.7078,12.774,-37.0263,-84.7787,15.6688
-30.4616,-71.8593,12.774,-38.0376,-84.5011,16.726
-31.8185,-71.4849,14.1837,-39.1306,-84.202,17.8655
-33.2504,-71.09,15.6688,-39.4371,-80.8014,19.0612
-34.278,-70.8078,16.726,-39.4252,-80.7577,19.0612
-35.3833,-70.5054,17.8655,-40.6241,-80.4318,20.3072
-35.7653,-71.9017,17.8655,-40.636,-80.4755,20.3072
-37.6854,-74.3819,19.0612,-42.6595,-83.2427,21.5406
-37.6269,-74.1674,19.0612,-43.9067,-82.9057,22.837
-38.8996,-74.0886,20.3072,-45.4521,-82.4898,24.4443
-38.8668,-73.968,20.3072,-46.4167,-82.2314,25.4512
-39.9153,-73.1109,21.5406,-47.3832,-81.9735,26.4581
-39.8622,-72.9148,21.5406,-48.3503,-81.7163,27.4649
-41.1419,-72.6727,22.837,-49.6331,-81.3764,28.7991
-41.1769,-72.8023,22.837,-50.589,-81.0204,29.8185
-42.7322,-72.3837,24.4443,-51.5964,-80.7547,30.8632
-42.7278,-72.3672,24.4443,-52.6082,-80.4882,31.9125
-43.7042,-72.1057,25.4512,-53.6131,-80.2244,32.9571
-43.7048,-72.108,25.4512,-54.6109,-79.9626,33.9892
-44.6561,-71.7556,26.4581,-55.608,-79.8047,34.9961
-44.6764,-71.8316,26.4581,-56.5915,-79.5474,36.0155
-45.7471,-71.9284,27.4649,-55.6506,-75.9512,36.0155
-45.773,-72.026,27.4649,-56.2285,-74.1854,37.0224
-47.0655,-71.6836,28.7991,-56.4197,-74.9176,37.0224
-47.022,-71.5196,28.7991,-58.1505,-77.5707,38.0293
-48.0095,-71.2586,29.8185,-58.5337,-79.0407,38.0293
-47.9831,-71.1589,29.8185,-59.7408,-78.7271,39.2825
-48.9434,-70.6987,30.8632,-61.1455,-78.2608,40.7677
-48.9721,-70.8075,30.8632,-62.2482,-77.9769,41.913
-49.964,-70.4477,31.9125,-63.3025,-77.7023,42.9827
-49.964,-70.4477,31.9125,-64.3957,-77.4116,44.0777
-51.0012,-70.274,32.9571,-65.488,-77.114,45.1665
-51.0012,-70.274,32.9571,-66.5387,-76.8223,46.2237
-51.9755,-69.9198,33.9892,-67.5734,-76.5301,47.2683
-52.0021,-70.0214,33.9892,-68.595,-76.2388,48.313
-53.162,-70.4709,34.9961,-69.6147,-75.9475,49.3702
-53.1978,-70.6074,34.9961,-70.6309,-75.6573,50.4274
-54.2479,-70.5895,36.0155,-71.6287,-75.3728,51.4686
-54.215,-70.4639,36.0155,-72.6367,-75.087,52.5259
-55.1437,-70.031,37.0224,-73.6376,-74.8038,53.5705
-55.1433,-70.0295,37.0224,-74.6485,-74.5189,54.6277
-55.9792,-69.24,38.0293,-75.6787,-74.2306,55.7101
-55.9965,-69.3065,38.0293,-76.6669,-73.9565,56.7517
-57.3015,-69.3356,39.2825,-77.6728,-73.6796,57.809
-57.2922,-69.2999,39.2825,-78.6967,-73.4012,58.8913
-58.6419,-68.5746,40.7677,-79.7148,-73.1287,59.9737
-58.914,-69.6271,40.7677,-80.7783,-72.8496,61.1065
-59.6299,-67.8066,41.913,-82.1914,-72.4812,62.579
-59.6693,-67.9598,41.913,-83.3812,-72.1722,63.8144
-61.0597,-69.0912,42.9827,-84.6079,-71.8543,65.0856
-60.7546,-67.9196,42.9827,-85.8215,-71.5407,66.3442
-61.8207,-67.7309,44.0777,-87.0835,-71.2158,67.6531
-61.8053,-67.6728,44.0777,-88.3551,-70.8901,68.9746
-62.887,-67.5735,45.1665,-88.0527,-69.7095,68.9746
-62.8824,-67.5566,45.1665,-88.4573,-66.0703,70.2724
-63.8622,-67.1855,46.2237,-88.374,-65.7437,70.2724
-63.8622,-67.1855,46.2237,-90.2885,-67.9128,71.5939
-64.829,-66.8133,47.2683,-90.8821,-70.2467,71.5939
-64.8354,-66.8361,47.2683,-92.146,-69.9262,72.9028
-65.8326,-66.5517,48.313,-93.4462,-69.7007,74.2244
-65.8261,-66.529,48.313,-94.7372,-69.3724,75.5459
-66.8674,-66.3306,49.3702,-96.0277,-69.0422,76.8674
-66.8674,-66.3306,49.3702,-97.292,-68.7176,78.1672
-67.858,-65.9486,50.4274,-96.4017,-65.2499,78.1672
-67.858,-65.9486,50.4274,-97.3104,-63.5648,79.4635
-68.887,-65.7544,51.4686,-97.6886,-65.0303,79.4635
-68.8707,-65.6972,51.4686,-99.0111,-64.8875,80.7725
-69.8918,-65.4076,52.5259,-98.9961,-64.8299,80.7725
-69.894,-65.4155,52.5259,-100.256,-64.4017,82.094
-70.9277,-65.2247,53.5705,-100.278,-64.4864,82.094
-70.9409,-65.2717,53.5705,-101.599,-64.3426,83.403
-71.9354,-64.8924,54.6277,-101.596,-64.3341,83.403
-71.9354,-64.8924,54.6277,-102.875,-63.995,84.7175
-72.983,-64.5992,55.7101,-102.866,-63.9611,84.7175
-72.983,-64.5992,55.7101,-104.138,-63.6207,86.0264
-73.9679,-64.227,56.7517,-104.125,-63.5726,86.0264
-73.9679,-64.227,56.7517,-105.408,-63.2272,87.3479
-74.9932,-63.9448,57.809,-105.444,-63.363,87.3479
