x,y,z,theta,kappa,s,dkappa
18.143,-122.015,0,-1.7005,-0.0457032,87.2034,0.00261974
17.9915,-123.005,0,-1.7434,-0.0382711,88.2058,0.0122545
17.8028,-123.99,0,-1.77411,-0.0218814,89.2081,0.0191073
17.593,-124.97,0,-1.78579,-0.000813525,90.2104,0.0227364
17.3826,-125.95,0,-1.77477,0.0231477,91.2128,0.0247063
17.195,-126.935,0,-1.73974,0.0446688,92.2151,0.0130578
17.05,-127.926,0,-1.69147,0.0488424,93.2174,-0.00369307
16.9526,-128.924,0,-1.64645,0.0390931,94.2198,-0.0151092
16.8935,-129.924,0,-1.61619,0.0210904,95.2221,-0.0156539
16.8564,-130.926,0,-1.60121,0.0104499,96.2245,-0.00573727
16.8307,-131.928,0,-1.59193,0.00980745,97.2268,0.00476521
16.8157,-132.93,0,-1.57777,0.0196833,98.2291,0.00973335
16.8196,-133.932,0,-1.55574,0.0215413,99.2315,-0.00661014
16.8436,-134.935,0,-1.54055,0.00563606,100.234,-0.0252956
16.8717,-135.936,0,-1.55052,-0.026989,101.236,-0.0310677
16.8742,-136.939,0,-1.58953,-0.0471974,102.238,-0.00928094
16.8311,-137.94,0,-1.63803,-0.0462644,103.241,0.010602
16.743,-138.938,0,-1.67641,-0.0289274,104.243,0.0176431
16.6255,-139.934,0,-1.69794,-0.0153801,105.246,0.00957092
16.492,-140.927,0,-1.70981,-0.0095346,106.248,0.00213114
16.3485,-141.919,0,-1.71945,-0.0105537,107.25,-0.00258892
16.1943,-142.91,0,-1.73148,-0.0135733,108.253,-0.00342698
16.0266,-143.898,0,-1.74693,-0.017393,109.255,-0.00417212
15.8417,-144.883,0,-1.76646,-0.0211512,110.257,-0.00150765
15.6364,-145.864,0,-1.78731,-0.0193551,111.26,0.00503039
15.4127,-146.841,0,-1.80314,-0.0112091,112.262,0.0111568
15.1785,-147.816,0,-1.80794,0.00189262,113.264,0.0127233
14.9459,-148.791,0,-1.80017,0.0131271,114.267,0.00973018
14.7259,-149.769,0,-1.7826,0.0214522,115.269,0.00689862
14.5267,-150.751,0,-1.75805,0.0272661,116.271,0.00532798
14.3545,-151.738,0,-1.72809,0.032466,117.274,0.00504186
14.2144,-152.731,0,-1.69307,0.0373553,118.276,0.00470177
14.1116,-153.728,0,-1.65349,0.0409212,119.278,0.000408851
14.049,-154.728,0,-1.61366,0.0371461,120.281,-0.00790554
14.0231,-155.73,0,-1.58177,0.025135,121.283,-0.0160591
14.0217,-156.732,0,-1.56576,0.00651872,122.285,-0.0177417
14.0272,-157.735,0,-1.56731,-0.00877487,123.288,-0.0127568
14.0244,-158.737,0,-1.58163,-0.0188923,124.29,-0.00730262
14.0031,-159.739,0,-1.60327,-0.0234161,125.292,-0.00209093
13.9586,-160.74,0,-1.627,-0.023132,126.295,0.00268585
13.8914,-161.74,0,-1.64805,-0.0181271,127.297,0.00716997
13.8063,-162.739,0,-1.66226,-0.0104354,128.299,0.00625739
13.7104,-163.737,0,-1.67026,-0.00618943,129.302,0.00230546
13.608,-164.734,0,-1.6759,-0.00563136,130.304,-0.00114336
13.4997,-165.73,0,-1.6826,-0.00792731,131.306,-0.00222691
13.3836,-166.726,0,-1.69141,-0.00936708,132.309,-0.000526874
13.2583,-167.721,0,-1.70065,-0.00861971,133.311,0.00224292
13.1248,-168.714,0,-1.70758,-0.0047341,134.313,0.00482637
12.9866,-169.707,0,-1.70981,0.000351144,135.316,0.00521128
12.8487,-170.699,0,-1.70684,0.00553316,136.318,0.00506437
12.7164,-171.693,0,-1.69874,0.0108994,137.32,0.00660869
12.5952,-172.688,0,-1.68391,0.0192449,138.323,0.0100417
12.4935,-173.685,0,-1.65898,0.0311346,139.325,0.0137989
12.4232,-174.685,0,-1.62036,0.0456799,140.327,0.0123251
12.3983,-175.687,0,-1.56962,0.0542922,141.33,0.00471474
12.4272,-176.689,0,-1.51423,0.054793,142.332,-0.00387135
12.5103,-177.687,0,-1.46269,0.0468774,143.334,-0.0108897
12.6398,-178.681,0,-1.42198,0.0335437,144.337,-0.0156657
12.8022,-179.67,0,-1.397,0.0155548,145.339,-0.020204
12.9798,-180.657,0,-1.39204,-0.00540707,146.341,-0.0188104
13.1525,-181.644,0,-1.40578,-0.0208768,147.344,-0.0120512
13.3051,-182.635,0,-1.43161,-0.0295346,148.346,-0.00520873
13.4288,-183.629,0,-1.46281,-0.0320467,149.348,-0.00114207
13.5207,-184.628,0,-1.49528,-0.0325183,150.351,0.000144796
13.5801,-185.628,0,-1.52763,-0.0318686,151.353,0.00109798
13.6076,-186.63,0,-1.5589,-0.0304356,152.355,0.00169869
13.6045,-187.632,0,-1.58845,-0.0284177,153.358,0.00237073
13.573,-188.634,0,-1.6156,-0.0255978,154.36,0.0032975
13.5158,-189.635,0,-1.63941,-0.0216968,155.362,0.00459045
13.4371,-190.634,0,-1.65859,-0.0162913,156.365,0.0062212
13.3422,-191.632,0,-1.6715,-0.00920008,157.367,0.00792449
13.2382,-192.629,0,-1.67658,-0.00110495,158.369,0.00694397
13.1328,-193.626,0,-1.6748,0.00407262,159.372,0.00338655
13.0312,-194.623,0,-1.6696,0.0057175,160.374,-7.79464e-05
12.935,-195.62,0,-1.66437,0.00452578,161.376,-0.001339
12.8434,-196.619,0,-1.66042,0.00343159,162.379,-0.00084883
12.7553,-197.617,0,-1.65733,0.00281754,163.381,-0.000378695
12.67,-198.616,0,-1.65464,0.00257874,164.383,-0.000247945
12.5874,-199.615,0,-1.6522,0.00225805,165.386,-0.000392119
12.5069,-200.614,0,-1.65016,0.00179228,166.388,-0.000537438
12.4282,-201.613,0,-1.64869,0.000992802,167.39,-0.00136427
12.3505,-202.612,0,-1.64861,-0.00106976,168.393,-0.0027531
12.2715,-203.612,0,-1.6513,-0.00453374,169.395,-0.0041647
12.1878,-204.61,0,-1.65819,-0.00950048,170.397,-0.00585361
12.0946,-205.608,0,-1.67096,-0.0162701,171.4,-0.00760906
11.9849,-206.605,0,-1.69134,-0.024599,172.402,-0.00889513
11.8506,-207.598,0,-1.72014,-0.0315396,173.405,-0.00139297
11.6862,-208.587,0,-1.75026,-0.0264609,174.407,0.0111378
11.4965,-209.571,0,-1.76944,-0.0102003,175.409,0.0207571
11.2974,-210.553,0,-1.76802,0.0141657,176.412,0.0276235
11.1128,-211.538,0,-1.73887,0.0451391,177.414,0.0345525
10.9736,-212.531,0,-1.67462,0.084999,178.416,0.0461297
10.9208,-213.531,0,-1.56337,0.13951,179.419,0.0574745
11.007,-214.529,0,-1.3978,0.187399,180.421,0.0366229
11.2757,-215.493,0,-1.19602,0.210697,181.423,0.00984733
11.7387,-216.379,0,-0.98355,0.210254,182.426,-0.00784537
12.3764,-217.151,0,-0.77791,0.198573,183.428,-0.0168696
13.1535,-217.781,0,-0.58966,0.174673,184.43,-0.0309697
14.0284,-218.268,0,-0.43239,0.136967,185.433,-0.0439923
14.9619,-218.632,0,-0.318131,0.0924462,186.435,-0.0374096
15.9256,-218.906,0,-0.241806,0.0620128,187.437,-0.0243585
16.9049,-219.12,0,-0.190259,0.0423901,188.44,-0.0150135
17.8926,-219.29,0,-0.153926,0.0308272,189.442,-0.0113226
18.885,-219.431,0,-0.129176,0.01826,190.444,-0.0131216
19.8799,-219.553,0,-0.117385,0.00541705,191.447,-0.0122727
20.8754,-219.669,0,-0.117881,-0.00606654,192.449,-0.0101232
21.8702,-219.792,0,-0.128506,-0.0146123,193.451,-0.00698918
22.8632,-219.929,0,-0.146159,-0.0201062,194.454,-0.00394963
23.8532,-220.085,0,-0.167765,-0.022502,195.456,-0.00101468
24.8395,-220.264,0,-0.190409,-0.0222485,196.458,0.00157217
25.8216,-220.464,0,-0.21145,-0.0192561,197.461,0.00443697
26.7997,-220.683,0,-0.22796,-0.0128277,198.463,0.00996091
27.7751,-220.914,0,-0.234203,0.00196332,199.465,0.0194684
28.7511,-221.142,0,-0.22098,0.0258187,200.468,0.0278066
29.7328,-221.344,0,-0.180408,0.0543338,201.47,0.0220375
30.7237,-221.494,0,-0.118419,0.0659992,202.472,0.00200947
31.7221,-221.58,0,-0.0539299,0.0602575,203.475,-0.0124964
32.724,-221.606,0,-0.00155001,0.0429363,204.477,-0.0200135
33.7262,-221.59,0,0.0309884,0.0214708,205.479,-0.0231239
34.7278,-221.552,0,0.0401103,-0.00415607,206.482,-0.0284451
35.7296,-221.519,0,0.0204183,-0.0362209,207.484,-0.0316691
36.7318,-221.521,0,-0.0266529,-0.0523851,208.486,0.00021858
37.7327,-221.572,0,-0.0729355,-0.033482,209.489,0.0391798
38.7318,-221.653,0,-0.0783776,0.0321636,210.491,0.0947951
39.7328,-221.699,0,0.00413598,0.135569,211.493,0.112702
40.7294,-221.608,0,0.19792,0.249721,212.496,0.102463
41.6721,-221.278,0,0.484739,0.302241,213.498,-0.0184502
42.4807,-220.691,0,0.759145,0.233176,214.5,-0.0920375
43.1328,-219.932,0,0.949271,0.150463,215.503,-0.0681287
43.6617,-219.081,0,1.07102,0.0983897,216.505,-0.0323696
44.1016,-218.181,0,1.15865,0.0808866,217.507,-0.00539364
44.4656,-217.247,0,1.24009,0.084423,218.51,0.0113186
44.7483,-216.286,0,1.33197,0.0993018,219.512,0.0110696
44.936,-215.302,0,1.43224,0.0960261,220.514,-0.0169531
45.0303,-214.304,0,1.51632,0.0685967,221.517,-0.0359196
45.057,-213.302,0,1.56497,0.0271843,222.519,-0.041193
45.0555,-212.3,0,1.57385,-0.00731448,223.521,-0.0281739
45.0603,-211.297,0,1.55446,-0.0291894,224.524,-0.0149161
45.0931,-210.296,0,1.52045,-0.0360375,225.526,2.97403e-05
45.1612,-209.296,0,1.48619,-0.0304759,226.528,0.0110775
45.2588,-208.298,0,1.46292,-0.0143698,227.531,0.0205299
45.3703,-207.302,0,1.45943,0.0064404,228.533,0.0150702
45.4766,-206.305,0,1.47089,0.0140752,229.535,0.000930645
45.5698,-205.307,0,1.48366,0.00972613,230.538,-0.00907337
45.654,-204.309,0,1.48774,-0.00181212,231.54,-0.0106514
45.7397,-203.31,0,1.48125,-0.0105092,232.542,-0.00687718
45.8356,-202.312,0,1.46781,-0.0157675,233.545,-0.00362443
45.947,-201.316,0,1.45079,-0.0173623,234.547,0.00163441
46.075,-200.322,0,1.43576,-0.011001,235.549,0.0114102
46.2131,-199.329,0,1.43234,0.00609531,236.552,0.0228474
46.3441,-198.335,0,1.45159,0.0326001,237.554,0.0220223
46.4444,-197.338,0,1.49114,0.0421807,238.556,-0.00263065
46.5044,-196.338,0,1.52835,0.0285164,239.559,-0.0239821
46.5374,-195.336,0,1.5419,-0.00299973,240.561,-0.0301561
46.5722,-194.334,0,1.52691,-0.023767,241.563,-0.011351
46.6291,-193.334,0,1.50063,-0.0253459,242.566,0.00856226
46.7098,-192.334,0,1.48301,-0.00712773,243.568,0.0226491
46.7976,-191.336,0,1.48681,0.0142471,244.571,0.0198985
46.8713,-190.336,0,1.51054,0.0325398,245.573,0.0164764
46.9128,-189.335,0,1.55069,0.0463998,246.575,0.00896397
46.9087,-188.333,0,1.59944,0.0486308,247.578,-0.00441792
46.8568,-187.332,0,1.64385,0.0379585,248.58,-0.0166022
46.7679,-186.333,0,1.67188,0.0169893,249.582,-0.0219135
46.6618,-185.337,0,1.67829,-0.00383582,250.585,-0.0197465
46.5594,-184.34,0,1.66481,-0.0227969,251.587,-0.0181704
46.4797,-183.341,0,1.6332,-0.0392684,252.589,-0.0116175
46.4383,-182.339,0,1.59035,-0.0439033,253.592,0.00236498
46.4397,-181.337,0,1.54986,-0.0345536,254.594,0.0162942
46.4748,-180.335,0,1.52553,-0.0129603,255.596,0.0214279
46.5234,-179.334,0,1.52197,0.00452205,256.599,0.0134049
46.5681,-178.333,0,1.5318,0.0136048,257.601,0.00450536
46.6,-177.331,0,1.54606,0.0132133,258.603,-0.00527706
46.6195,-176.329,0,1.55509,0.00327401,259.606,-0.0144205
46.6363,-175.327,0,1.54966,-0.0156016,260.608,-0.0233425
46.6696,-174.325,0,1.52134,-0.039816,261.61,-0.0167949
46.7409,-173.325,0,1.47702,-0.0444814,262.613,0.0080205
46.8546,-172.329,0,1.44095,-0.0229656,263.615,0.0350013
46.9891,-171.336,0,1.43833,0.0170636,264.617,0.0329417
47.1084,-170.341,0,1.46819,0.0387825,265.62,0.0106274
47.1908,-169.342,0,1.50895,0.0392688,266.622,-0.00907035
47.2351,-168.341,0,1.54166,0.0252629,267.624,-0.0146913
47.2541,-167.338,0,1.55968,0.0107792,268.627,-0.0141647
47.2622,-166.336,0,1.56357,-0.0027352,269.629,-0.012488
47.2728,-165.334,0,1.55504,-0.0138463,270.631,-0.00962326
47.2969,-164.332,0,1.53722,-0.0206557,271.634,-0.00343513
47.3412,-163.33,0,1.51592,-0.0208264,272.636,0.00255274
47.4061,-162.33,0,1.49684,-0.0169164,273.638,0.00462802
47.4878,-161.331,0,1.48232,-0.0119456,274.641,0.00496173
47.5816,-160.333,0,1.47261,-0.00767402,275.643,0.00352918
47.6831,-159.336,0,1.46648,-0.00473944,276.645,0.00242014
47.7895,-158.339,0,1.46283,-0.00264935,277.648,0.00182509
47.8985,-157.343,0,1.46104,-0.000948247,278.65,0.00163095
48.0085,-156.347,0,1.46093,0.000753584,279.652,0.00184479
48.1177,-155.35,0,1.46273,0.00298309,280.655,0.00278495
