optimized_right_x,optimized_right_y,optimized_right_s,optimized_left_x,optimized_left_y,optimized_left_s
-22.2568,-58.2868,58.2483,-8.71042,-72.9127,75.9225
-22.3351,-58.3085,58.2483,-8.40624,-74.0256,77.093
-21.9703,-59.268,59.2677,-8.09903,-75.1412,78.2635
-21.2196,-59.0589,59.2677,-7.78983,-76.255,79.434
-22.8105,-60.5636,60.2911,-7.47501,-77.3792,80.6171
-26.2137,-61.5108,60.2911,-7.1639,-78.4843,81.775
-25.9378,-62.5215,61.3735,-6.84901,-79.5961,82.9416
-25.6773,-63.5097,62.4559,-9.31265,-80.2939,82.9416
-25.4096,-64.5611,63.6012,-10.7002,-81.9175,84.1246
-25.1406,-65.6439,64.7591,-10.6866,-81.9136,84.1246
-24.8591,-66.7937,65.9673,-8.57769,-82.5647,85.3329
-22.3305,-66.1745,65.9673,-6.1026,-81.8601,85.3329
-19.464,-66.7887,67.2438,-5.78408,-82.9689,86.5034
-19.9718,-66.9136,67.2438,-5.45932,-84.0897,87.6865
-19.6366,-67.8761,68.2506,-5.13169,-85.2126,88.8696
-19.6698,-67.8844,68.2506,-4.79503,-86.3576,90.0778
-19.4156,-68.8911,69.2827,-4.46339,-87.4756,91.2609
-19.3759,-68.881,69.2827,-4.14533,-88.5381,92.3876
-19.1064,-69.936,70.3651,-3.81869,-89.6218,93.5329
-19.0693,-69.9266,70.3651,-3.90995,-89.6493,93.5329
-18.7966,-70.981,71.4475,-6.69699,-91.6496,94.6531
-18.4167,-70.8827,71.4475,-6.80948,-91.6838,94.6531
-18.0742,-71.9456,72.555,-6.7466,-92.8564,95.7984
-18.4671,-72.0489,72.555,-6.82598,-92.8806,95.7984
-18.1834,-73.1138,73.65,-6.40774,-93.934,96.9311
-18.1797,-73.1129,73.65,-6.60921,-93.9958,96.9311
-17.9713,-74.2421,74.7898,-3.50681,-94.2217,98.0639
-17.9291,-74.2308,74.7898,-2.50482,-93.9131,98.0639
-17.632,-75.3281,75.9225,-2.17213,-94.9904,99.1966
-17.636,-75.3291,75.9225,-1.83973,-96.0662,100.324
-17.2401,-76.4399,77.093,-1.50644,-97.1407,101.456
-17.278,-76.4503,77.093,-1.17149,-98.2181,102.589
-16.9662,-77.5828,78.2635,-0.833329,-99.3131,103.722
-16.9674,-77.5832,78.2635,-0.503368,-100.393,104.829
-16.6531,-78.7155,79.434,-0.169717,-101.496,105.962
-16.6531,-78.7155,79.434,0.161152,-102.602,107.095
-16.3328,-79.8594,80.6171,0.49422,-103.728,108.248
-16.2875,-79.8467,80.6171,0.828638,-104.87,109.418
-15.7172,-80.8923,81.775,-2.58247,-107.111,110.601
-15.8271,-80.9232,81.775,-2.69184,-107.143,110.601
-15.7008,-82.1032,82.9416,-2.45107,-108.327,111.797
-15.5745,-82.0674,82.9416,-2.5733,-108.362,111.797
-15.1671,-83.1809,84.1246,-1.97837,-109.484,113.03
-15.1671,-83.1809,84.1246,-2.11592,-109.523,113.03
-14.921,-84.3706,85.3329,1.16967,-109.892,114.264
-14.8094,-84.3388,85.3329,2.17921,-109.609,114.264
-14.7139,-85.534,86.5034,-1.05136,-111.805,115.497
-14.4858,-85.4685,86.5034,-1.23882,-111.857,115.497
-14.3385,-86.6622,87.6865,-1.17226,-113.137,116.743
-13.9147,-86.5394,87.6865,-1.81682,-113.315,116.743
-15.1949,-88.1487,88.8696,0.816105,-113.837,117.936
-18.7633,-89.1898,88.8696,3.16644,-113.195,117.936
-18.4183,-90.3632,90.0778,3.48971,-114.39,119.156
-14.9721,-89.35,90.0778,3.80127,-115.557,120.34
-12.7019,-89.9193,91.2609,4.10465,-116.706,121.51
-12.6064,-89.891,91.2609,4.40191,-117.843,122.668
-13.8227,-91.4347,92.3876,0.805719,-118.783,122.668
-17.749,-92.61,92.3876,-0.495014,-120.295,123.801
-17.4146,-93.7195,93.5329,-0.0516018,-120.179,123.801
-17.0837,-94.8078,94.6531,2.79271,-120.567,124.896
-16.7456,-95.9136,95.7984,4.96551,-119.999,124.896
-16.4115,-97.0028,96.9311,5.2408,-121.05,125.985
-16.0757,-98.093,98.0639,5.51162,-122.084,127.055
-13.4341,-97.2794,98.0639,5.7795,-123.105,128.112
-10.643,-97.6063,99.1966,3.79153,-123.627,128.112
-10.3465,-97.5148,99.1966,0.917058,-125.473,129.17
-11.474,-99.0431,100.324,0.81505,-125.499,129.17
-15.4068,-100.258,100.324,1.8009,-126.305,130.202
-15.069,-101.348,101.456,2.09362,-126.227,130.202
-11.8828,-100.359,101.456,4.78017,-126.579,131.234
-9.42559,-100.784,102.589,3.34646,-126.959,131.234
-9.89112,-100.929,102.589,1.16892,-128.642,132.304
-9.47588,-101.982,103.722,1.17788,-128.64,132.304
-9.21312,-101.901,103.722,4.00313,-128.979,133.363
-9.41556,-103.116,104.829,7.11634,-128.146,133.363
-9.23625,-103.061,104.829,7.39542,-129.185,134.446
-10.9335,-104.752,105.962,7.67509,-130.221,135.528
-12.9406,-105.359,105.962,7.95923,-131.266,136.623
-8.83417,-105.293,107.095,8.24788,-132.318,137.731
-8.9689,-105.333,107.095,8.54183,-133.376,138.851
-8.64411,-106.431,108.248,8.8495,-134.471,140.009
-8.71154,-106.451,108.248,9.16345,-135.575,141.179
-12.7992,-108.86,109.418,9.4858,-136.694,142.368
-12.4756,-109.978,110.601,9.8145,-137.824,143.564
-12.1516,-111.108,111.797,10.0612,-139.022,144.797
-11.8212,-112.274,113.03,10.4068,-140.193,146.03
-11.4939,-113.442,114.264,10.7547,-141.367,147.264
-8.60866,-112.633,114.264,8.14249,-142.141,147.264
-6.02675,-113.185,115.497,6.8261,-143.84,148.522
-6.69583,-113.371,115.497,7.39211,-143.671,148.522
-6.45994,-114.593,116.743,10.0684,-144.165,149.769
-6.46596,-114.595,116.743,11.466,-143.746,149.769
-6.24723,-115.766,117.936,11.824,-144.935,151.019
-6.14154,-115.737,117.936,12.1821,-146.119,152.265
-5.73626,-116.886,119.156,12.5457,-147.315,153.524
-5.75285,-116.891,119.156,12.9074,-148.502,154.77
-5.45026,-118.025,120.34,13.2673,-149.685,156.003
-5.43063,-118.02,120.34,13.7226,-150.841,157.237
-5.13333,-119.146,121.51,14.0778,-152.014,158.458
-5.14541,-119.149,121.51,11.4323,-152.815,158.458
-4.58773,-120.194,122.668,9.73147,-154.561,159.634
-4.39735,-120.144,122.668,10.5213,-154.323,159.634
-3.88887,-121.182,123.801,10.7821,-155.505,160.842
-4.08823,-121.234,123.801,10.0283,-155.733,160.842
-4.18732,-122.391,124.896,12.4608,-156.221,162.013
-4.11986,-122.374,124.896,15.1068,-155.422,162.013
-3.93276,-123.452,125.985,15.4194,-156.456,163.095
-3.93276,-123.452,125.985,12.1521,-157.444,163.095
-3.66146,-124.488,127.055,10.7578,-158.914,164.102
-3.66146,-124.488,127.055,11.5368,-158.678,164.102
-3.30405,-125.487,128.112,15.0458,-158.828,165.273
-3.34636,-125.498,128.112,16.0486,-158.522,165.273
-3.0775,-126.522,129.17,16.3559,-159.526,166.33
-3.03519,-126.511,129.17,16.7796,-160.903,167.781
-2.86033,-127.535,130.202,17.1365,-162.137,168.938
-2.90565,-127.547,130.202,17.4803,-163.654,170.008
-2.45596,-128.498,131.234,16.6418,-163.834,170.008
-2.47928,-128.505,131.234,14.7218,-165.881,171.135
-2.20314,-129.541,132.304,15.2258,-165.833,171.135
-2.17124,-129.532,132.304,17.6202,-167.978,172.204
-1.89668,-130.558,133.363,15.9532,-167.826,172.204
-1.85008,-130.546,133.363,15.388,-170.026,173.312
-1.56879,-131.593,134.446,16.9837,-170.532,173.312
-1.42779,-131.555,134.446,15.7899,-172.933,174.469
-1.22178,-132.624,135.528,14.048,-175.082,175.676
-1.26402,-132.635,135.528,9.24518,-172.969,176.972
-0.815982,-133.652,136.623,9.14669,-172.839,176.972
-0.960728,-133.691,136.623,7.99181,-174.193,178.281
-0.758142,-134.789,137.731,7.96755,-174.148,178.281
-0.752021,-134.788,137.731,6.32442,-174.334,179.514
-0.358985,-135.848,138.851,6.40378,-174.545,179.514
-0.418828,-135.865,138.851,4.96303,-174.405,180.574
-0.104034,-136.986,140.009,4.89201,-174.119,180.574
0.0685836,-136.937,140.009,3.91671,-175.672,181.581
0.390417,-138.069,141.179,3.90462,-175.588,181.581
0.282205,-138.1,141.179,2.9697,-175.652,182.248
0.522392,-139.275,142.368,3.00454,-176.275,182.248
0.685866,-139.228,142.368,1.61205,-175.962,183.293
1.09936,-140.359,143.564,1.60228,-176.202,183.293
0.948572,-140.403,143.564,-0.442903,-179.332,184.305
1.20617,-141.617,144.797,-2.399,-178.784,185.375
1.24515,-141.606,144.797,-4.41484,-177.89,186.545
1.42005,-142.844,146.03,-6.4395,-176.579,187.819
1.295,-142.881,146.03,-8.2604,-174.933,189.153
1.83829,-144.01,147.264,-7.39269,-174.04,189.153
2.05859,-143.945,147.264,-6.88068,-170.692,190.562
2.10338,-145.248,148.522,-7.03479,-170.804,190.562
